Gene ID	spo	Name	Function	
637289204	SPO1723	D-mannonate dehydratase (EC 4.2.1.8)	COG1312	
637289205	SPO1724	D-mannonate oxidoreductase	COG0246	
637289214	SPO1733	fructose-1,6-bisphosphatase, class II	COG1494	
637289252	SPO1771	TRAP dicarboxylate transporter, DctM subunit	COG1593	
637289253	SPO1772	TRAP dicarboxylate transporter, DctQ subunit	COG3090	
637289254	SPO1773	TRAP dicarboxylate transporter, DctP subunit, putative	COG1638	
637289260	SPO1779	membrane protein, major facilitator transporter family	COG2814	
637289295	SPO1814	TRAP dicarboxylate transporter, DctP subunit, putative	COG1638	
637289297	SPO1816	TRAP dicarboxylate transporter, DctM subunit, putative	COG1593	
637289301	SPO1820	carbohydrate ABC transporter substrate-binding protein, CUT1 family (TC 3.A.1.1.-)	COG1653	
637289302	SPO1821	carbohydrate ABC transporter membrane protein 2, CUT1 family (TC 3.A.1.1.-)	COG0395	
637289303	SPO1822	carbohydrate ABC transporter membrane protein 1, CUT1 family (TC 3.A.1.1.-)	COG1175	
637289304	SPO1823	carbohydrate ABC transporter ATP-binding protein, CUT1 family (TC 3.A.1.1.-)	COG3839	
637289316	SPO1835	carbohydrate ABC transporter ATP-binding protein, CUT1 family (TC 3.A.1.1.-)	COG3839	
637289318	SPO1837	carbohydrate ABC transporter membrane protein 2, CUT1 family (TC 3.A.1.1.-)	COG0395	
637289319	SPO1838	carbohydrate ABC transporter membrane protein 1, CUT1 family (TC 3.A.1.1.-)	COG1175	
637289320	SPO1839	carbohydrate ABC transporter substrate-binding protein, CUT1 family (TC 3.A.1.1.-)	COG1653	
637289322	SPO1841	BadF/BadG/BcrA/BcrD ATPase family protein	COG2971	
637289325	SPO1844	N-acetylglucosamine 6-phosphate deacetylase (EC 3.5.1.25)	COG1820	
637289346	SPO1865	transketolase (EC 2.2.1.1)	COG0021	
637289370	SPO1889	alcohol dehydrogenase, zinc-containing	COG1064	
637289379	SPO1899	fructose-bisphosphate aldolase (EC 4.1.2.13)	COG3588	
637289420	SPO1940	hypothetical protein	COG2133	
637289443	SPO1963	phosphoglycerate mutase family protein	COG0406	
637289450	SPO1970	phosphoglycerate mutase (EC 5.4.2.1)	COG0406	
637289525	SPO2046	glucose-6-phosphate isomerase (EC 5.3.1.9)	COG0166	
637289526	SPO2047	6-phosphogluconolactonase (EC 3.1.1.31)	COG0363	
637289527	SPO2048	glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	COG0364	
637289539	SPO2060	kinase, pfkB family	COG0524	
637289550	SPO2071	drug resistance transporter, Bcr/CflA subfamily	COG2814	
637289574	SPO2095	MmgE/PrpD family protein	COG2079	
637289591	SPO2112	transmembrane drug/metabolite transporter family protein	COG0697	
637289607	SPO2128	transporter, putative	COG2814	
637289627	SPO2148	hypothetical protein	COG2861	
637289678	SPO2198	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (EC 1.2.1.12)	COG0057	
637289715	SPO2235	phosphoglycerate kinase (EC 2.7.2.3)	COG0126	
637289787	SPO2309	hypothetical protein	COG0697	
637289834	SPO2356	TRAP dicarboxylate transporter, DctM subunit, putative	COG1593	
637289835	SPO2357	TRAP dicarboxylate transporter, DctQ subunit	COG3090	
637289836	SPO2358	TRAP dicarboxylate transporter, DctP subunit, putative	COG1638	
637289882	SPO2410	dihydroxy-acid dehydratase	COG0129	
637289892	SPO2420	2-keto-3-deoxygluconate kinase (EC 2.7.1.45)	COG0524	
637289902	SPO2430	hydrolase, UxaA family	COG2721	
637289917	SPO2445	drug resistance transporter, Bcr/CflA subfamily	COG2814	
637289946	SPO2474	enolase (EC 4.2.1.11)	COG0148	
637289973	SPO2502	beta-N-acetylhexosaminidase, putative	COG1472	
637290016	SPO2545	TRAP dicarboxylate transporter, DctP subunit, putative	COG1638	
637290017	SPO2546	TRAP dicarboxylate transporter, DctQ subunit	COG3090	
637290018	SPO2547	TRAP dicarboxylate transporter, DctM subunit	COG1593	
637290028	SPO2559	gluconolactonase (EC 3.1.1.17)	COG3386	
637290031	SPO2562	hypothetical protein	COG0235	
637290032	SPO2563	hydroxypyruvate isomerase, putative	COG3622	
637290090	SPO2621	triosephosphate isomerase (EC 5.3.1.1)	COG0149	
637290095	SPO2626	TRAP transporter, DctM subunit	COG1593	
637290096	SPO2627	TRAP transporter, DctQ subunit	COG3090	
637290097	SPO2628	TRAP transporter solute receptor, DctP family	COG1638	
637290358	SPO2890	glucosyltransferase MdoH	COG2943	
637290396	SPO2928	phosphopentomutase	COG1015	
637290420	SPO2952	trkA domain protein	COG0471	
637290426	SPO2958	inositol monophosphatase family protein	COG0483	
637290438	SPO2971	hypothetical protein	COG2814	
637290442	SPO2976	metallo-beta-lactamase family protein	COG2220	
637290459	SPO2993	MOFRL family protein	COG2379	
637290478	SPO3012	inositol-1-monophosphatase, putative	COG0483	
637290492	SPO3026	strictosidine synthase family protein	COG3386	
637290497	SPO3031	2-keto-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14)	COG0800	
637290498	SPO3032	6-phosphogluconate dehydratase (EC 4.2.1.12)	COG0129	
637290499	SPO3033	glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	COG0364	
637290533	SPO3068	hypothetical protein	COG2220	
637290593	SPO3128	transaldolase (EC 2.2.1.2)	COG0176	
637290645	SPO3180	ribose-5-phosphate isomerase (EC 5.3.1.6)	COG0698	
637290770	SPO3305	phosphoglycerate mutase family protein	COG0406	
637290777	SPO3312	hypothetical protein	COG2513	
637290779	SPO3314	dihydroxyacid dehydratase (EC 4.2.1.9)	COG0129	
637290908	SPO3443	inositol monophosphatase family protein	COG0483	
637290946	SPO3481	hypothetical protein	COG2814	
637290969	SPO3504	S-adenosylmethionine uptake transporter	COG0697	
637290970	SPO3505	hypothetical protein	COG2814	
637291019	SPO3554	hypothetical protein	COG0697	
637291047	SPO3582	kinase, pfkB family	COG0524	
637291065	SPO3600	pyruvate kinase (EC 2.7.1.40)	COG0469	
637291073	SPO3608	beta-methylmalyl-CoA/L-malyl-CoA lyase (EC 4.1.3.24)	COG2301	
637291106	SPO3641	ABC transporter, permease protein	COG1682	
637291129	SPO3663	TRAP dicarboxylate family transporter, DctM subunit	COG1593	
637291130	SPO3664	hypothetical protein	COG3090	
637291131	SPO3665	bacterial extracellular solute-binding protein, family 7	COG1638	
637291153	SPO3686	2,4-dihydroxyhept-2-enedioate aldolase (EC 4.1.2.-)	COG3836	
637291160	SPO3693	TRAP dicarboxylate transporter, DctP subunit	COG1638	
637291162	SPO3695	TRAP dicarboxylate transporter, DctM subunit, putative	COG1593	
637291178	SPO3711	hypothetical protein	COG2814	
637291202	SPO3735	major facilitator family protein	COG2814	
637291216	SPO3749	hypothetical protein	COG0235	
637291228	SPO3760	sugar fermentation stimulation protein A	COG1489	
637291230	SPO3762	HAD-superfamily hydrolase, subfamily IA, variant 1	COG0637	
637291251	SPO3783	carbohydrate ABC transporter ATP-binding protein, CUT1 family (TC 3.A.1.1.-)	COG3839	
637291252	SPO3784	carbohydrate ABC transporter ATP-binding protein, CUT1 family (TC 3.A.1.1.-)	COG3839	
637291253	SPO3785	carbohydrate ABC transporter membrane protein 1, CUT1 family (TC 3.A.1.1.-)	COG1175	
637291254	SPO3786	carbohydrate ABC transporter membrane protein 2, CUT1 family (TC 3.A.1.1.-)	COG0395	
637291255	SPO3787	carbohydrate ABC transporter substrate-binding protein, CUT1 family (TC 3.A.1.1.-)	COG1653	
637291278	SPO3810	phosphoglycerate mutase (EC 5.4.2.1)	COG0696	
637291288	SPO3820	transmembrane transporter, major facilitator family	COG2814	
637291346	SPO3878	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (EC 1.2.1.12)	COG0057	
637613652	SPOA0108	hypothetical protein	COG2814	
637613782	SPOA0238	TRAP dicarboxylate transporter, DctP subunit	COG1638	
637613784	SPOA0240	TRAP transporter, DctM subunit	COG1593	
637613785	SPOA0241	gluconolactonase (EC 3.1.1.17)	COG3386	
637613793	SPOA0249	TRAP dicarboxylate transporter, DctP subunit	COG1638	
637613794	SPOA0250	TRAP dicarboxylate transporter, DctM subunit	COG1593	
637613795	SPOA0251	TRAP dicarboxylate transporter, DctQ subunit	COG3090	
637613797	SPOA0253	monosaccharide ABC transporter substrate-binding protein, CUT2 family (TC 3.A.1.2.-)	COG1879	
637613798	SPOA0254	monosaccharide ABC transporter membrane protein, CUT2 family (TC 3.A.1.2.-)	COG1172	
637613800	SPOA0256	monosaccharide ABC transporter substrate-binding protein, CUT2 family (TC 3.A.1.2.-)	COG1879	
637613801	SPOA0257	monosaccharide ABC transporter membrane protein, CUT2 family (TC 3.A.1.2.-)	COG1172	
637613802	SPOA0258	monosaccharide ABC transporter ATP-binding protein, CUT2 family (TC 3.A.1.2.-)	COG1129	
637613820	SPOA0276	fructokinase	COG0524	
637613822	SPOA0278	TRAP dicarboxylate transporter, DctM subunit	COG1593	
637613823	SPOA0279	TRAP dicarboxylate transporter, DctQ subunit	COG3090	
637613824	SPOA0280	TRAP dicarboxylate transporter, DctP subunit, putative	COG1638	
637613871	SPOA0329	methylglyoxal synthase	COG1803	
637613872	SPOA0330	2-keto-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14)	COG0800	
637613873	SPOA0331	2-dehydro-3-deoxygluconokinase, putative	COG0524	
637613874	SPOA0332	dihydroxy-acid dehydratase	COG0129	
637613889	SPOA0347	hypothetical protein	COG2814	
637613891	SPOA0349	S-adenosylmethionine uptake transporter	COG0697	
637613914	SPOA0372	TRAP dicarboxylate transporter, DctQ subunit	COG3090	
637613915	SPOA0373	TRAP dicarboxylate transporter, DctM subunit	COG1593	
637613916	SPOA0374	TRAP dicarboxylate transporter, DctP subunit	COG1638	
637613973	SPOA0431	tetracycline resistance protein	COG2814	
