Condition,Replicate,Day,Organism,Cells.ml
Marivivens,2,2,T_pseudo,234474.4745
Marivivens,3,2,T_pseudo,212150.0264
Marivivens,4,2,T_pseudo,189968.9303
Marivivens,1,4,Bacteria,5976822.62
Marivivens,2,4,Bacteria,5635922.452
Marivivens,3,4,Bacteria,6812020.621
Marivivens,4,4,Bacteria,5361525.705
Marivivens,1,4,T_pseudo,1255331.558
Marivivens,2,4,T_pseudo,1231569.731
Marivivens,3,4,T_pseudo,1973594.87
Marivivens,4,4,T_pseudo,1397346.6
Marivivens,1,6,Bacteria,6276503.118
Marivivens,2,6,Bacteria,4917158.47
Marivivens,3,6,Bacteria,7611753.756
Marivivens,4,6,Bacteria,4773079.512
Marivivens,1,6,T_pseudo,1329097.541
Marivivens,2,6,T_pseudo,1106535.519
Marivivens,3,6,T_pseudo,2475415.503
Marivivens,4,6,T_pseudo,1624151.524
Marivivens,1,8,Bacteria,5844076.12
Marivivens,2,8,Bacteria,5147070.707
Marivivens,3,8,Bacteria,9114876.521
Marivivens,4,8,Bacteria,4313820.668
Marivivens,1,8,T_pseudo,1323216.697
Marivivens,2,8,T_pseudo,1290505.051
Marivivens,3,8,T_pseudo,2121611.722
Marivivens,4,8,T_pseudo,1655013.002
CompleteCommunity,1,0,Bacteria,395351.682
CompleteCommunity,2,0,Bacteria,314920.6349
CompleteCommunity,3,0,Bacteria,265926.9533
CompleteCommunity,4,0,Bacteria,279744.1365
CompleteCommunity,1,0,T_pseudo,4403.669725
CompleteCommunity,2,0,T_pseudo,6530.612245
CompleteCommunity,3,0,T_pseudo,7027.27693
CompleteCommunity,4,0,T_pseudo,6823.027719
CompleteCommunity,1,2,Bacteria,4359312.395
CompleteCommunity,2,2,Bacteria,2912218.964
CompleteCommunity,3,2,Bacteria,3067084.349
CompleteCommunity,4,2,Bacteria,2761472.516
CompleteCommunity,1,2,T_pseudo,224169.5748
CompleteCommunity,2,2,T_pseudo,232649.0714
CompleteCommunity,3,2,T_pseudo,269915.3034
CompleteCommunity,4,2,T_pseudo,221482.6021
CompleteCommunity,1,4,Bacteria,3502155.32
CompleteCommunity,2,4,Bacteria,2225165.563
CompleteCommunity,3,4,Bacteria,2196792.371
CompleteCommunity,4,4,Bacteria,2184267.589
CompleteCommunity,1,4,T_pseudo,1168844.794
CompleteCommunity,2,4,T_pseudo,1141545.254
CompleteCommunity,3,4,T_pseudo,1050021.673
CompleteCommunity,4,4,T_pseudo,1112802.768
CompleteCommunity,1,6,Bacteria,3601402.556
CompleteCommunity,2,6,Bacteria,2709439.319
CompleteCommunity,3,6,Bacteria,3338610.904
CompleteCommunity,4,6,Bacteria,3013750.593
CompleteCommunity,1,6,T_pseudo,1394955.322
CompleteCommunity,2,6,T_pseudo,1398249.349
CompleteCommunity,3,6,T_pseudo,1237142.146
CompleteCommunity,4,6,T_pseudo,1439544.808
CompleteCommunity,1,8,Bacteria,3574532.841
CompleteCommunity,2,8,Bacteria,2880303.509
CompleteCommunity,3,8,Bacteria,3522903.684
CompleteCommunity,4,8,Bacteria,2724519.178
CompleteCommunity,1,8,T_pseudo,1428667.338
CompleteCommunity,2,8,T_pseudo,1370175.993
CompleteCommunity,3,8,T_pseudo,1351437.63
CompleteCommunity,4,8,T_pseudo,1305813.826
