"spo","meanW_rpomAlone","semW_rpomAlone","meanW_vib","semW_vib","meanW_mari","semW_mari","meanW_CC","semW_CC","gene","funct","NCBI","Vib_fold_diff","Mari_fold_diff","CC_fold_diff"
"SPO0035",1,0.012,0.99,0.006,0.99,0.011,0.98,0.013,"SPO0035","core-2/I-branching enzyme family protein","SPO_RS00175",-0.014,-0.014,-0.029
"SPO0036",0.98,0.004,0.98,0.007,0.98,0.003,0.98,0.007,"SPO0036","hypothetical protein","SPO_RS00180",0,0,0
"SPO0037",0.99,0.004,0.98,0.003,0.99,0.004,1,0.006,"SPO0037","hypothetical protein","SPO_RS00185",-0.014,0,0.014
"SPO0040",1,0.014,1,0.005,1,0.008,1,0.009,"SPO0040","ABC transporter, permease protein","SPO_RS00200",0,0,0
"SPO0041",1,0.013,1,0.013,1,0.012,1,0.022,"SPO0041","hypothetical protein","SPO_RS22085",0,0,0
"SPO0042",1,0.022,0.99,0.018,1,0.007,1,0.007,"SPO0042","alkylated DNA repair protein, putative","SPO_RS00210",-0.014,0,0
"SPO0044",0.93,0.072,0.86,0.049,0.92,0.043,0.85,0.073,"dnaJ","chaperone protein DnaJ","SPO_RS00220",-0.11,-0.015,-0.13
"SPO0045",0.99,0.02,1,0.007,1,0.022,1,0.006,"thiD","phosphomethylpyrimidine kinase","SPO_RS00225",0.014,0.014,0.014
"SPO0046",0.92,0.009,0.93,0.023,0.95,0.01,0.97,0.026,"SPO0046","thiamine biosynthesis oxidoreductase ThiO, putative","SPO_RS00230",0.015,0.046,0.076
"SPO0046a",0.98,0.054,1,0.035,0.99,0.052,1,0.043,"thiS","thiamine biosynthesis protein ThiS","SPO_RS00235",0.029,0.014,0.029
"SPO0047",0.93,0.04,0.94,0.024,0.95,0.019,0.97,0.018,"thiG","thiazole biosynthesis protein ThiG","SPO_RS00240",0.015,0.03,0.06
"SPO0048",1,0.029,0.97,0.028,0.96,0.032,1,0.031,"thiE","thiamine-phosphate pyrophosphorylase","SPO_RS00245",-0.044,-0.058,0
"SPO0049",1,0.013,1,0.021,0.97,0.006,0.98,0.016,"SPO0049","thiamine biosynthesis protein ThiF","SPO_RS00250",0,-0.044,-0.029
"SPO0050",0.96,0.02,0.97,0.018,0.96,0.014,0.99,0.013,"SPO0050","ABC transporter, periplasmic substrate-binding protein","SPO_RS00255",0.015,0,0.044
"SPO0051",1,0.021,1,0.011,0.98,0.004,0.98,0.017,"SPO0051","TENA/THI-4 family protein","SPO_RS00260",0,-0.029,-0.029
"SPO0052",1,0.031,0.98,0.023,0.99,0.009,1,0.022,"SPO0052","ABC transporter, ATP-binding protein","SPO_RS00265",-0.029,-0.014,0
"SPO0053",1,0.039,0.96,0.011,0.99,0.007,0.98,0.012,"SPO0053","ABC transporter, permease protein","SPO_RS00270",-0.058,-0.014,-0.029
"SPO0054",0.97,0.024,0.95,0.027,0.97,0.011,1,0.01,"radC","DNA repair protein RadC","SPO_RS00275",-0.03,0,0.044
"SPO0055",1,0.011,1,0.004,1,0.008,0.99,0.019,"SPO0055","OmpA domain protein","SPO_RS00280",0,0,-0.014
"SPO0056",1,0.015,1,0.013,1,0.008,0.99,0.01,"SPO0056","hypothetical protein","SPO_RS00285",0,0,-0.014
"SPO0057",0.88,0.32,0.58,0.29,0.9,0.16,0.79,0.2,"secA","preprotein translocase, SecA subunit","SPO_RS00290",-0.59,0.032,-0.15
"SPO0058",1,0.011,1,0.023,1,0.009,1,0.013,"SPO0058","PPIC-type PPIASE domain protein","SPO_RS00295",0,0,0
"SPO0059",0.97,0.01,0.97,0.027,0.99,0.007,1,0.019,"argJ","glutamate N-acetyltransferase/amino-acid acetyltransferase","SPO_RS00300",0,0.029,0.044
"SPO0060",1.1,0.01,1.1,0.013,1.1,0.015,1,0.014,"mutT","mutator mutT protein","SPO_RS00305",0,0,-0.14
"SPO0062",0.44,0.26,0.51,0.3,0.39,0.23,0.49,0.28,"SPO0062","hypothetical protein","SPO_RS00315",0.21,-0.17,0.15
"SPO0063",0.14,0.14,0.5,0.3,0.61,0.21,0.26,0.26,"nusA","transcription termination factor NusA","SPO_RS00320",1.8,2,0.85
"SPO0066",0.97,0.011,0.97,0.006,0.93,0.014,0.97,0.004,"pip","proline iminopeptidase","SPO_RS00335",0,-0.06,0
"SPO0067",0.88,0.017,0.92,0.068,0.91,0.048,1,0.097,"ubiG","3-demethylubiquinone-9 3-methyltransferase","SPO_RS00340",0.063,0.048,0.18
"SPO0068",1,0.019,0.91,0.035,0.95,0.018,0.92,0.031,"SPO0068","transcriptional regulator, putative","SPO_RS00345",-0.13,-0.073,-0.12
"SPO0069",1,0.011,0.96,0.026,1,0.008,1,0.004,"SPO0069","hydrolase, carbon-nitrogen family","SPO_RS00350",-0.058,0,0
"SPO0070",1,0.022,0.98,0.028,1,0.013,1,0.018,"SPO0070","glutaredoxin","SPO_RS00355",-0.029,0,0
"SPO0071",1.1,0.022,0.97,0.033,0.99,0.026,0.92,0.037,"SPO0071","competence protein F, putative","SPO_RS00360",-0.18,-0.15,-0.26
"SPO0072",0.9,0.063,0.96,0.069,0.8,0.1,0.84,0.28,"SPO0072","hypothetical protein","SPO_RS00365",0.092,-0.17,-0.098
"SPO0075",1.1,0.01,1.1,0.016,1,0.013,1.1,0.011,"SPO0075","ErfK/YbiS/YcfS/YnhG family protein/Tat domain protein","SPO_RS00380",0,-0.14,0
"SPO0077",0.96,0.02,0.9,0.022,0.91,0.017,0.92,0.025,"ptsN","PTS IIA-like nitrogen-regulatory protein PtsN","SPO_RS00390",-0.092,-0.076,-0.061
"SPO0078",1.1,0.004,1,0.006,1.1,0.015,1,0.017,"SPO0078","ribosomal subunit interface protein, putative","SPO_RS00395",-0.14,0,-0.14
"SPO0084",1.1,0.013,1,0.007,1,0.008,1,0.016,"betB","betaine aldehyde dehydrogenase","SPO_RS00425",-0.14,-0.14,-0.14
"SPO0085",0.88,0.051,0.92,0.045,0.91,0.038,0.97,0.019,"SPO0085","hypothetical protein","SPO_RS00430",0.063,0.048,0.14
"SPO0086",1,0.005,1,0.006,1,0.004,1,0.008,"SPO0086","lipoprotein, putative","SPO_RS00435",0,0,0
"SPO0087",1,0.015,0.98,0.011,1,0.001,0.98,0.011,"SPO0087","hypothetical protein","SPO_RS00440",-0.029,0,-0.029
"SPO0088",1,0.035,1,0.008,1,0.017,1,0.019,"SPO0088","hypothetical protein","SPO_RS00445",0,0,0
"SPO0089",1,0.018,1,0.009,0.98,0.011,0.98,0.018,"SPO0089","hypothetical protein","SPO_RS00450",0,-0.029,-0.029
"SPO0090",1,0.021,0.98,0.021,0.99,0.017,0.96,0.02,"SPO0090","hypothetical protein","SPO_RS00455",-0.029,-0.014,-0.058
"SPO0091",1,0.008,1,0.014,1,0.008,1,0.007,"SPO0091","rhodanese-like domain protein","SPO_RS00460",0,0,0
"SPO0092",0.96,0.04,0.93,0.029,0.97,0.023,0.99,0.012,"SPO0092","heat shock protein, Hsp70 family","SPO_RS00465",-0.045,0.015,0.044
"SPO0093",1,0.043,1,0.027,1,0.007,1,0.015,"pncA","pyrazinamidase/nicotinamidase","SPO_RS00470",0,0,0
"SPO0094",0.98,0.011,0.97,0.023,0.95,0.008,0.98,0.009,"SPO0094","sensory box sensor histidine kinase/response regulator","SPO_RS00475",-0.015,-0.044,0
"SPO0095",0.89,0.016,0.96,0.014,0.96,0.007,0.94,0.026,"pncB","nicotinate phosphoribosyltransferase","SPO_RS00480",0.11,0.11,0.078
"SPO0096",0.97,0.032,0.97,0.038,0.99,0.023,0.99,0.018,"SPO0096","hypothetical protein","SPO_RS00485",0,0.029,0.029
"SPO0097",0.99,0.008,0.98,0.006,0.98,0.016,0.98,0.012,"SPO0097","aldehyde dehydrogenase family protein","SPO_RS00490",-0.014,-0.014,-0.014
"SPO0098",0.96,0.009,0.94,0.009,0.96,0.014,0.95,0.018,"SPO0098","peptide/opine/nickel uptake family ABC transporter, ATP-binding protein","SPO_RS00495",-0.03,0,-0.015
"SPO0099",0.96,0.023,0.97,0.018,0.96,0.016,0.97,0.017,"SPO0099","peptide/opine/nickel uptake family ABC transporter, permease protein","SPO_RS00500",0.015,0,0.015
"SPO0100",1,0.036,1,0.032,1,0.014,1,0.021,"SPO0100","peptide/opine/nickel uptake family ABC transporter, permease protein","SPO_RS00505",0,0,0
"SPO0101",0.98,0.008,0.99,0.012,0.99,0.009,0.99,0.007,"SPO0101","peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein","SPO_RS00510",0.014,0.014,0.014
"SPO0102",0.74,0.032,1,0.013,0.99,0.013,1,0.017,"panB","3-methyl-2-oxobutanoate hydroxymethyltransferase","SPO_RS00515",0.43,0.42,0.43
"SPO0103",0.76,0.015,1,0.044,1,0.017,1,0.043,"panC","pantoate--beta-alanine ligase","SPO_RS00520",0.39,0.39,0.39
"SPO0104",1,0.015,1,0.009,1,0.004,0.99,0.01,"glpK","glycerol kinase","SPO_RS00525",0,0,-0.014
"SPO0105",0.99,0.026,0.99,0.02,0.99,0.017,0.99,0.014,"SPO0105","monooxygenase family protein","SPO_RS00530",0,0,0
"SPO0106",1,0.011,1,0.014,1,0.011,1,0.013,"SPO0106","hypothetical protein","SPO_RS00535",0,0,0
"SPO0107",1,0.015,1,0.017,1,0.007,1,0.015,"recQ","ATP-dependent DNA helicase RecQ","SPO_RS00540",0,0,0
"SPO0108",0.98,0.051,1,0.025,0.94,0.023,0.98,0.03,"SPO0108","transposase, truncation","SPO_RS22360",0.029,-0.06,0
"SPO0109",1,0.006,1,0.01,1,0.007,1,0.007,"SPO0109","hypothetical protein","SPO_RS00545",0,0,0
"SPO0110",1,0.009,1,0.004,1,0.003,1,0.002,"SPO0110","ABC transporter, ATP binding/permease protein","SPO_RS00550",0,0,0
"SPO0111",1,0.008,1,0.009,1,0.008,1,0.01,"SPO0111","hypothetical protein","SPO_RS00555",0,0,0
"SPO0112",1,0.009,1,0.005,1,0.004,1,0.006,"SPO0112","poly(3-hydroxyalkanoate) polymerase family protein","SPO_RS00560",0,0,0
"SPO0113",1,0.011,1,0.01,1,0.016,1,0.006,"fabI-1","enoyl-(acyl-carrier-protein) reductase","SPO_RS00565",0,0,0
"SPO0114",1,0.014,1,0.03,1,0.02,1,0.03,"SPO0114","hypothetical protein","SPO_RS00570",0,0,0
"SPO0115",1,0.012,1,0.016,1,0.004,0.98,0.005,"SPO0115","maoC family protein/phosphate acetyl/butaryl transferase","SPO_RS00575",0,0,-0.029
"SPO0116",1,0.015,1,0.011,1,0.011,1,0.006,"ackA","acetate kinase","SPO_RS00580",0,0,0
"SPO0118",0.94,0.006,0.95,0.003,0.95,0.005,0.96,0.016,"SPO0118","hypothetical protein","SPO_RS00600",0.015,0.015,0.03
"SPO0119",1,0.021,1,0.048,1,0.036,1.1,0.05,"SPO0119","transcriptional regulator, AsnC family","SPO_RS00605",0,0,0.14
"SPO0120",0.99,0.021,1,0.014,1,0.018,1,0.016,"SPO0120","hypothetical protein","SPO_RS00610",0.014,0.014,0.014
"SPO0122",1,0.036,0.98,0.025,0.99,0.038,1,0.022,"SPO0122","YGGT family protein","SPO_RS00625",-0.029,-0.014,0
"SPO0123",0.95,0.02,1,0.012,0.99,0.014,0.98,0.006,"SPO0123","hypothetical protein","SPO_RS00630",0.073,0.059,0.044
"SPO0124",1.1,0.006,1,0.005,1,0.004,1,0.007,"mepA","murein endopeptidase","SPO_RS00635",-0.14,-0.14,-0.14
"SPO0125",1,0.014,0.97,0.028,1,0.024,1,0.029,"SPO0125","hypothetical protein","SPO_RS00640",-0.044,0,0
"SPO0126",1,0.008,1,0.02,1,0.011,1,0.028,"SPO0126","hypothetical protein","SPO_RS00645",0,0,0
"SPO0127",1.1,0.11,1,0.097,1.1,0.05,1.1,0.042,"SPO0127","peptidyl-tRNA hydrolase domain protein","SPO_RS00650",-0.14,0,0
"SPO0128",1,0.018,1,0.018,1,0.017,1,0.015,"SPO0128","oxidoreductase, short chain dehydrogenase/reductase family","SPO_RS00655",0,0,0
"SPO0129",1,0.035,1,0.02,1,0.013,1,0.025,"SPO0129","peptidase, T4 family","SPO_RS00660",0,0,0
"SPO0130",0.91,0.035,0.9,0.027,0.92,0.02,0.93,0.035,"SPO0130","cytochrome c family protein","SPO_RS00665",-0.016,0.016,0.031
"SPO0131",1.1,0.029,1.1,0.017,1,0.025,1.1,0.055,"idi","isopentyl-diphosphate delta-isomerase","SPO_RS00670",0,-0.14,0
"SPO0132",0.93,0.004,0.96,0.003,0.96,0.008,0.96,0.018,"SPO0132","sensor histidine kinase/response regulator","SPO_RS00675",0.045,0.045,0.045
"SPO0133",1,0.018,1,0.008,0.99,0.005,0.98,0.01,"SPO0133","PAN domain protein","SPO_RS00680",0,-0.014,-0.029
"SPO0134",1,0.071,1.1,0.057,1.1,0.069,1.1,0.026,"SPO0134","hypothetical protein","SPO_RS00685",0.14,0.14,0.14
"SPO0135",1,0.032,0.97,0.01,0.96,0.021,1,0.02,"pbpC","penicillin-binding protein 1C","SPO_RS00690",-0.044,-0.058,0
"SPO0136",1,0.02,1,0.023,0.98,0.018,0.98,0.013,"SPO0136","hypothetical protein","SPO_RS00695",0,-0.029,-0.029
"SPO0137",1,0.006,1,0.012,0.99,0.011,1,0.017,"SPO0137","hypothetical protein","SPO_RS00700",0,-0.014,0
"SPO0138",0.95,0.014,0.98,0.021,0.96,0.007,0.99,0.035,"SPO0138","hypothetical protein","SPO_RS00705",0.044,0.015,0.059
"SPO0139",0.98,0.007,0.97,0.017,0.99,0.017,0.98,0.016,"SPO0139","ATPase, MoxR family","SPO_RS00710",-0.015,0.014,0
"SPO0140",0.95,0.006,0.97,0.039,0.95,0.019,0.97,0.022,"SPO0140","hypothetical protein","SPO_RS00715",0.03,0,0.03
"SPO0141",0.95,0.034,0.96,0.036,0.91,0.031,0.98,0.061,"SPO0141","DNA binding protein, putative","SPO_RS00720",0.015,-0.061,0.044
"SPO0142",1,0.028,1,0.011,1,0.004,1,0.012,"bktB","beta-ketothiolase","SPO_RS00730",0,0,0
"SPO0143",0.95,0.009,0.94,0.013,0.94,0.026,0.97,0.016,"SPO0143","iron-sulfur cluster-binding protein","SPO_RS00735",-0.015,-0.015,0.03
"SPO0144",NA,NA,NA,NA,NA,NA,1.4,NA,"ubiB","2-polyprenylphenol 6-hydroxylase","SPO_RS00740",NA,NA,NA
"SPO0146",1.1,0.019,1,0.013,1,0.011,1,0.027,"mutM","formamidopyrimidine-DNA glycosylase","SPO_RS00750",-0.14,-0.14,-0.14
"SPO0147",0.5,0.17,0.6,0.21,0.47,0.2,0.78,0.052,"SPO0147","enoyl-CoA hydratase","SPO_RS00755",0.26,-0.087,0.63
"SPO0151",0.94,0.007,0.96,0.006,0.97,0.015,0.95,0.013,"recF","DNA replication and repair protein RecF","SPO_RS00775",0.03,0.045,0.015
"SPO0152",0.99,0.014,0.98,0.006,0.99,0.006,0.96,0.022,"SPO0152","transporter, LysE family","SPO_RS00780",-0.014,0,-0.044
"SPO0153",0.81,0.017,0.87,0.018,0.87,0.041,0.84,0.034,"SPO0153","transcriptional regulator, TetR family","SPO_RS00785",0.1,0.1,0.052
"SPO0154",0.98,0.026,1,0.006,1,0.024,1,0.02,"SPO0154","NAD(P)H dehydrogenase, quinone family","SPO_RS00790",0.029,0.029,0.029
"SPO0156",0.99,0.01,1,0.011,1,0.012,1,0.015,"rtcR","transcriptional regulator RtcR","SPO_RS00800",0.014,0.014,0.014
"SPO0157",1,0.008,1,0.012,1,0.012,0.99,0.006,"SPO0157","TROVE domain protein","SPO_RS00805",0,0,-0.014
"SPO0160",1.1,0.017,1,0.011,1,0.006,1,0.017,"SPO0160","hypothetical protein","SPO_RS00820",-0.14,-0.14,-0.14
"SPO0161",0.98,0.014,0.99,0.008,0.98,0.008,1,0.028,"SPO0161","DNA-binding response regulator, LuxR family","SPO_RS00825",0.014,0,0.029
"SPO0162",0.98,0.033,0.95,0.043,0.98,0.023,0.96,0.018,"SPO0162","hypothetical protein","SPO_RS00830",-0.044,0,-0.029
"SPO0163",0.94,0.015,0.99,0.029,0.97,0.004,0.96,0.016,"SPO0163","sensory box histidine kinase/response regulator","SPO_RS00835",0.074,0.045,0.03
"SPO0164",0.95,0.024,0.95,0.04,0.98,0.013,0.95,0.01,"SPO0164","oxidoreductase, FMN-binding/pyridine nucleotide-disulfide oxidoreductase","SPO_RS00840",0,0.044,0
"SPO0165",0.98,0.035,1,0.014,0.95,0.034,0.97,0.044,"SPO0165","pyrroline-5-carboxylate reductase, putative","SPO_RS00845",0.029,-0.044,-0.015
"SPO0166",0.98,0.033,0.96,0.009,0.97,0.025,0.96,0.016,"SPO0166","N-methylproline demethylase, putative","SPO_RS00850",-0.029,-0.015,-0.029
"SPO0167",1,0.044,1,0.04,1,0.018,0.98,0.027,"SPO0167","trimethylamine methyltransferase family protein","SPO_RS00855",0,0,-0.029
"SPO0168",0.97,0.02,1,0.025,1,0.029,1,0.021,"SPO0168","transcriptional regulator, TetR family","SPO_RS00860",0.044,0.044,0.044
"SPO0169",1,0.041,0.92,0.042,0.93,0.018,0.98,0.025,"SPO0169","transglycosylase, Slt family","SPO_RS00865",-0.12,-0.1,-0.029
"SPO0170",1,0.011,1,0.027,0.97,0.026,0.99,0.023,"flhA","flagellar biosynthesis protein FlhA","SPO_RS00870",0,-0.044,-0.014
"SPO0171",0.98,0.052,1,0.041,0.97,0.037,1,0.04,"fliR","flagellar biosynthetic protein FliR","SPO_RS00875",0.029,-0.015,0.029
"SPO0172",0.99,0.026,0.97,0.031,0.95,0.03,1,0.02,"flhB","flagellar biosynthetic protein FlhB","SPO_RS00880",-0.029,-0.059,0.014
"SPO0173",0.98,0.1,0.95,0.05,0.95,0.074,0.92,0.069,"SPO0173","hypothetical protein","SPO_RS00885",-0.044,-0.044,-0.09
"SPO0174",0.88,0.063,0.94,0.074,0.93,0.042,1,0.048,"SPO0174","hypothetical protein","SPO_RS00890",0.094,0.079,0.18
"SPO0175",0.98,0.04,0.96,0.05,0.92,0.023,0.96,0.035,"flgH","flagellar L-ring protein FlgH","SPO_RS00895",-0.029,-0.09,-0.029
"SPO0176",0.93,0.074,0.99,0.03,0.96,0.052,0.98,0.039,"flgA","flagellar basal-body P-ring formation protein FlgA","SPO_RS00900",0.089,0.045,0.075
"SPO0177",0.99,0.02,1,0.023,0.97,0.016,0.98,0.025,"flgG","flagellar basal-body rod protein FlgG","SPO_RS00905",0.014,-0.029,-0.014
"SPO0178",0.98,0.046,0.92,0.027,0.95,0.052,0.96,0.019,"flgF","flagellar basal-body rod protein FlgF","SPO_RS00910",-0.09,-0.044,-0.029
"SPO0179",0.88,0.064,0.9,0.07,0.91,0.05,0.85,0.047,"fliQ","flagellar biosynthetic protein FliQ","SPO_RS00915",0.032,0.048,-0.049
"SPO0180",0.96,0.057,0.81,0.061,0.85,0.07,0.99,0.051,"SPO0180","flagellar hook-basal body complex protein FliE, putative","SPO_RS00920",-0.24,-0.17,0.044
"SPO0181",0.94,0.056,0.98,0.061,0.91,0.043,1,0.056,"flgC","flagellar basal-body rod protein FlgC","SPO_RS00925",0.06,-0.046,0.088
"SPO0182",0.95,0.027,0.92,0.039,0.94,0.009,0.88,0.051,"flgB","flagellar basal-body rod protein FlgB","SPO_RS00930",-0.046,-0.015,-0.11
"SPO0183",0.97,0.034,0.94,0.033,0.99,0.011,0.98,0.031,"fliI","H+-transporting two-sector ATPase, flagellum-specific","SPO_RS00935",-0.045,0.029,0.015
"SPO0184",1,0.015,1,0.012,1,0.007,1,0.008,"tctA","TctA channel protein","SPO_RS00940",0,0,0
"SPO0185",1,0.007,1,0.018,1,0.001,0.98,0.025,"tctB","TctB smaller channel protein, 4 transmembrane domains; tripartite tricarboxylate TTT transporter","",0,0,-0.029
"SPO0186",1.1,0.011,1,0.009,1,0.007,1,0.016,"tctC","TctC solute-binding protein; tripartite tricarboxylate TTT transporter","SPO_RS00950",-0.14,-0.14,-0.14
"SPO0187",0.94,0.034,0.9,0.086,0.97,0.039,0.94,0.061,"tctD","TctD DNA-binding response regulator; tripartite tricarboxylate TTT transporter","SPO_RS00955",-0.062,0.045,0
"SPO0188",0.98,0.019,0.98,0.015,0.98,0.011,0.96,0.01,"SPO0188","two-component sensor protein","SPO_RS00960",0,0,-0.029
"SPO0189",0.97,0.024,1,0.017,0.96,0.031,0.97,0.033,"SPO0189","putative iron(III) substrate binding protein","SPO_RS00965",0.044,-0.015,0
"SPO0190",0.97,0.005,1,0.022,0.99,0.006,0.97,0.017,"SPO0190","oxidoreductase, GMC family","SPO_RS00970",0.044,0.029,0
"SPO0191",0.97,0.028,0.93,0.039,0.98,0.012,0.95,0.039,"motB","chemotaxis protein MotB","SPO_RS00975",-0.06,0.015,-0.03
"SPO0192",0.98,0.031,1,0.022,1,0.01,1,0.011,"SPO0192","flagellar hook protein FlgE, putative","SPO_RS00980",0.029,0.029,0.029
"SPO0193",0.96,0.031,0.96,0.019,0.93,0.019,0.98,0.027,"SPO0193","flagellar hook-associated protein FlgK, putative","SPO_RS00985",0,-0.045,0.029
"SPO0194",1,0.016,1,0.027,0.98,0.014,0.98,0.015,"SPO0194","flagellar hook-associated protein FlgL family protein","SPO_RS00990",0,-0.029,-0.029
"SPO0195",1,0.015,0.98,0.018,1,0.025,0.97,0.014,"flgI","flagellar P-ring protein FlgI","SPO_RS00995",-0.029,0,-0.044
"SPO0196",1,0.019,0.98,0.022,1,0.028,0.98,0.02,"fliP","flagellar biosynthetic protein FliP","SPO_RS01000",-0.029,0,-0.029
"SPO0197",0.99,0.013,0.98,0.007,1,0.016,0.95,0.022,"fliN","flagellar motor switch protein FliN","SPO_RS01005",-0.014,0.014,-0.059
"SPO0198",1,0.027,0.96,0.021,1,0.03,0.99,0.04,"SPO0198","ABC transporter, ATP-binding protein, flagellar, putative","SPO_RS01010",-0.058,0,-0.014
"SPO0199",1,0.024,0.99,0.008,0.99,0.013,1,0.024,"fliF","flagellar M-ring protein FliF","SPO_RS01015",-0.014,-0.014,0
"SPO0200",1,0.016,0.98,0.022,0.95,0.014,0.96,0.055,"fliL","flagellar basal body-associated protein FliL","SPO_RS01020",-0.029,-0.073,-0.058
"SPO0201",1,0.023,0.97,0.078,0.96,0.051,0.91,0.074,"SPO0201","hypothetical protein","SPO_RS01025",-0.044,-0.058,-0.13
"SPO0202",1,0.024,1,0.055,1,0.022,1,0.028,"SPO0202","hypothetical protein","SPO_RS01030",0,0,0
"SPO0203",0.97,0.014,0.98,0.015,0.99,0.012,1,0.024,"motA","chemotaxis protein MotA","SPO_RS01035",0.015,0.029,0.044
"SPO0204",1,0.028,0.95,0.015,0.96,0.016,0.98,0.021,"SPO0204","hypothetical protein","SPO_RS01040",-0.073,-0.058,-0.029
"SPO0205",0.98,0.04,1,0.013,0.99,0.009,1,0.019,"SPO0205","MmgE/PrpD family protein","SPO_RS01045",0.029,0.014,0.029
"SPO0206",0.93,0.023,0.96,0.009,0.98,0.025,0.94,0.038,"SPO0206","transcriptional regulator, LysR family","SPO_RS01050",0.045,0.075,0.015
