Condition,Replicate,Day,Organism,Dilution,Volume,CFU,CFU_KAN
Vibrio,1,8,Vib_70,10000,0.1,,
Vibrio,2,8,Vib_70,10,0.1,41,
Vibrio,2,8,Vib_70,1000,0.1,,
Vibrio,2,8,Vib_70,10000,0.1,,
Vibrio,3,8,Vib_70,10,0.1,38,
Vibrio,3,8,Vib_70,1000,0.1,1,
Vibrio,3,8,Vib_70,10000,0.1,,
Vibrio,4,8,Vib_70,10,0.1,145,
Vibrio,4,8,Vib_70,1000,0.1,4,
Vibrio,4,8,Vib_70,10000,0.1,1,
Marivivens,1,0,Ruegeria_pomeroyi,10,0.1,,
Marivivens,1,0,Ruegeria_pomeroyi,100,0.1,142,202
Marivivens,1,0,Marivivens,10,0.1,,
Marivivens,1,0,Marivivens,100,0.1,387,
Marivivens,2,0,Ruegeria_pomeroyi,10,0.1,,
Marivivens,2,0,Ruegeria_pomeroyi,100,0.1,121,86
Marivivens,2,0,Marivivens,10,0.1,,
Marivivens,2,0,Marivivens,100,0.1,419,
Marivivens,3,0,Ruegeria_pomeroyi,10,0.1,,319
Marivivens,3,0,Ruegeria_pomeroyi,100,0.1,125,20
Marivivens,3,0,Marivivens,10,0.1,,
Marivivens,3,0,Marivivens,100,0.1,356,
Marivivens,4,0,Ruegeria_pomeroyi,10,0.1,,
Marivivens,4,0,Ruegeria_pomeroyi,100,0.1,130,185
Marivivens,4,0,Marivivens,10,0.1,,
Marivivens,4,0,Marivivens,100,0.1,333,
Marivivens,1,4,Ruegeria_pomeroyi,100,0.1,,
Marivivens,1,4,Ruegeria_pomeroyi,1000,0.1,737,616
Marivivens,1,4,Ruegeria_pomeroyi,10000,0.1,105,43
Marivivens,2,4,Ruegeria_pomeroyi,100,0.1,,
Marivivens,2,4,Ruegeria_pomeroyi,1000,0.1,623,243
Marivivens,2,4,Ruegeria_pomeroyi,10000,0.1,30,35
Marivivens,3,4,Ruegeria_pomeroyi,100,0.1,,
Marivivens,3,4,Ruegeria_pomeroyi,1000,0.1,624,755
Marivivens,3,4,Ruegeria_pomeroyi,10000,0.1,89,63
Marivivens,4,4,Ruegeria_pomeroyi,100,0.1,,
Marivivens,4,4,Ruegeria_pomeroyi,1000,0.1,787,394
Marivivens,4,4,Ruegeria_pomeroyi,10000,0.1,69,5
Marivivens,1,4,Marivivens,100,0.1,374,
Marivivens,1,4,Marivivens,1000,0.1,54,
Marivivens,1,4,Marivivens,10000,0.1,7,
Marivivens,2,4,Marivivens,100,0.1,290,
Marivivens,2,4,Marivivens,1000,0.1,36,
Marivivens,2,4,Marivivens,10000,0.1,3,
Marivivens,3,4,Marivivens,100,0.1,,
Marivivens,3,4,Marivivens,1000,0.1,181,
Marivivens,3,4,Marivivens,10000,0.1,22,
Marivivens,4,4,Marivivens,100,0.1,449,
Marivivens,4,4,Marivivens,1000,0.1,62,
Marivivens,4,4,Marivivens,10000,0.1,5,
Marivivens,1,8,Ruegeria_pomeroyi,1000,0.1,120,423
Marivivens,1,8,Ruegeria_pomeroyi,10000,0.1,1,13
Marivivens,1,8,Ruegeria_pomeroyi,100000,0.1,,
Marivivens,2,8,Ruegeria_pomeroyi,1000,0.1,177,285
Marivivens,2,8,Ruegeria_pomeroyi,10000,0.1,1,10
Marivivens,2,8,Ruegeria_pomeroyi,100000,0.1,,
Marivivens,3,8,Ruegeria_pomeroyi,1000,0.1,369,372
Marivivens,3,8,Ruegeria_pomeroyi,10000,0.1,4,6
Marivivens,3,8,Ruegeria_pomeroyi,100000,0.1,,2
Marivivens,4,8,Ruegeria_pomeroyi,1000,0.1,84,392
Marivivens,4,8,Ruegeria_pomeroyi,10000,0.1,1,18
Marivivens,4,8,Ruegeria_pomeroyi,100000,0.1,,2
Marivivens,1,8,Marivivens,100,0.1,110,
Marivivens,1,8,Marivivens,1000,0.1,,
Marivivens,1,8,Marivivens,10000,0.1,,
Marivivens,2,8,Marivivens,100,0.1,19,
Marivivens,2,8,Marivivens,1000,0.1,3,
Marivivens,2,8,Marivivens,10000,0.1,1,
Marivivens,3,8,Marivivens,100,0.1,38,
Marivivens,3,8,Marivivens,1000,0.1,2,
Marivivens,3,8,Marivivens,10000,0.1,,
Marivivens,4,8,Marivivens,100,0.1,32,
Marivivens,4,8,Marivivens,1000,0.1,2,
Marivivens,4,8,Marivivens,10000,0.1,,
CompleteCommunity,1,0,Ruegeria_pomeroyi,10,0.1,,
CompleteCommunity,1,0,Ruegeria_pomeroyi,100,0.1,,
CompleteCommunity,1,0,Vib_70,10,0.1,,
CompleteCommunity,1,0,Vib_70,100,0.1,537,
CompleteCommunity,1,0,Marivivens,10,0.1,,
CompleteCommunity,1,0,Marivivens,100,0.1,279,
CompleteCommunity,2,0,Ruegeria_pomeroyi,10,0.1,,
CompleteCommunity,2,0,Ruegeria_pomeroyi,100,0.1,,10
CompleteCommunity,2,0,Vib_70,10,0.1,,
CompleteCommunity,2,0,Vib_70,100,0.1,376,
CompleteCommunity,2,0,Marivivens,10,0.1,,
CompleteCommunity,2,0,Marivivens,100,0.1,241,
CompleteCommunity,3,0,Ruegeria_pomeroyi,10,0.1,,
CompleteCommunity,3,0,Ruegeria_pomeroyi,100,0.1,,85
CompleteCommunity,3,0,Vib_70,10,0.1,,
CompleteCommunity,3,0,Vib_70,100,0.1,411,
CompleteCommunity,3,0,Marivivens,10,0.1,,
CompleteCommunity,3,0,Marivivens,100,0.1,322,
CompleteCommunity,4,0,Ruegeria_pomeroyi,10,0.1,,
CompleteCommunity,4,0,Ruegeria_pomeroyi,100,0.1,,145
CompleteCommunity,4,0,Vib_70,10,0.1,,
CompleteCommunity,4,0,Vib_70,100,0.1,501,
CompleteCommunity,4,0,Marivivens,10,0.1,,
CompleteCommunity,4,0,Marivivens,100,0.1,285,
CompleteCommunity,1,4,Ruegeria_pomeroyi,100,0.1,,
CompleteCommunity,1,4,Ruegeria_pomeroyi,1000,0.1,428,348
CompleteCommunity,1,4,Ruegeria_pomeroyi,10000,0.1,38,34
CompleteCommunity,2,4,Ruegeria_pomeroyi,100,0.1,,
CompleteCommunity,2,4,Ruegeria_pomeroyi,1000,0.1,252,80
CompleteCommunity,2,4,Ruegeria_pomeroyi,10000,0.1,25,
CompleteCommunity,3,4,Ruegeria_pomeroyi,100,0.1,,
CompleteCommunity,3,4,Ruegeria_pomeroyi,1000,0.1,210,171
CompleteCommunity,3,4,Ruegeria_pomeroyi,10000,0.1,17,18
CompleteCommunity,4,4,Ruegeria_pomeroyi,100,0.1,,
CompleteCommunity,4,4,Ruegeria_pomeroyi,1000,0.1,221,234
CompleteCommunity,4,4,Ruegeria_pomeroyi,10000,0.1,37,10
CompleteCommunity,1,4,Vib_70,100,0.1,,
CompleteCommunity,1,4,Vib_70,1000,0.1,,
CompleteCommunity,1,4,Vib_70,10000,0.1,,
CompleteCommunity,2,4,Vib_70,100,0.1,1,
CompleteCommunity,2,4,Vib_70,1000,0.1,,
CompleteCommunity,2,4,Vib_70,10000,0.1,,
CompleteCommunity,3,4,Vib_70,100,0.1,,
CompleteCommunity,3,4,Vib_70,1000,0.1,,
CompleteCommunity,3,4,Vib_70,10000,0.1,,
CompleteCommunity,4,4,Vib_70,100,0.1,,
CompleteCommunity,4,4,Vib_70,1000,0.1,,
CompleteCommunity,4,4,Vib_70,10000,0.1,,
CompleteCommunity,1,4,Marivivens,100,0.1,441,
CompleteCommunity,1,4,Marivivens,1000,0.1,33,
CompleteCommunity,1,4,Marivivens,10000,0.1,9,
CompleteCommunity,2,4,Marivivens,100,0.1,333,
CompleteCommunity,2,4,Marivivens,1000,0.1,41,
CompleteCommunity,2,4,Marivivens,10000,0.1,9,
CompleteCommunity,3,4,Marivivens,100,0.1,287,
CompleteCommunity,3,4,Marivivens,1000,0.1,26,
CompleteCommunity,3,4,Marivivens,10000,0.1,4,
CompleteCommunity,4,4,Marivivens,100,0.1,398,
CompleteCommunity,4,4,Marivivens,1000,0.1,48,
CompleteCommunity,4,4,Marivivens,10000,0.1,3,
CompleteCommunity,1,8,Ruegeria_pomeroyi,1000,0.1,66,312
CompleteCommunity,1,8,Ruegeria_pomeroyi,10000,0.1,,26
CompleteCommunity,1,8,Ruegeria_pomeroyi,100000,0.1,5,7
CompleteCommunity,2,8,Ruegeria_pomeroyi,1000,0.1,137,251
CompleteCommunity,2,8,Ruegeria_pomeroyi,10000,0.1,16,23
CompleteCommunity,2,8,Ruegeria_pomeroyi,100000,0.1,2,2
CompleteCommunity,3,8,Ruegeria_pomeroyi,1000,0.1,279,300
CompleteCommunity,3,8,Ruegeria_pomeroyi,10000,0.1,13,19
CompleteCommunity,3,8,Ruegeria_pomeroyi,100000,0.1,6,
CompleteCommunity,4,8,Ruegeria_pomeroyi,1000,0.1,294,165
CompleteCommunity,4,8,Ruegeria_pomeroyi,10000,0.1,21,14
CompleteCommunity,4,8,Ruegeria_pomeroyi,100000,0.1,1,2
CompleteCommunity,1,8,Vib_70,10,0.1,,
CompleteCommunity,1,8,Vib_70,1000,0.1,,
CompleteCommunity,1,8,Vib_70,10000,0.1,,
CompleteCommunity,2,8,Vib_70,10,0.1,1,
CompleteCommunity,2,8,Vib_70,1000,0.1,,
CompleteCommunity,2,8,Vib_70,10000,0.1,,
CompleteCommunity,3,8,Vib_70,10,0.1,6,
CompleteCommunity,3,8,Vib_70,1000,0.1,,
CompleteCommunity,3,8,Vib_70,10000,0.1,,
CompleteCommunity,4,8,Vib_70,10,0.1,3,
CompleteCommunity,4,8,Vib_70,1000,0.1,,
CompleteCommunity,4,8,Vib_70,10000,0.1,,
CompleteCommunity,1,8,Marivivens,10,0.1,287,
CompleteCommunity,1,8,Marivivens,1000,0.1,,
CompleteCommunity,1,8,Marivivens,10000,0.1,,
CompleteCommunity,2,8,Marivivens,10,0.1,307,
CompleteCommunity,2,8,Marivivens,1000,0.1,4,
CompleteCommunity,2,8,Marivivens,10000,0.1,,
CompleteCommunity,3,8,Marivivens,10,0.1,260,
CompleteCommunity,3,8,Marivivens,1000,0.1,1,
CompleteCommunity,3,8,Marivivens,10000,0.1,,
CompleteCommunity,4,8,Marivivens,10,0.1,302,
CompleteCommunity,4,8,Marivivens,1000,0.1,12,
CompleteCommunity,4,8,Marivivens,10000,0.1,3,
