spo,mean_rpomAlone,lwrCL_rpomAlone,uprCL_rpomAlone,naCount_rpomAlone,mean_vib,lwrCL_vib,uprCL_vib,naCount_vib,mean_mari,lwrCL_mari,uprCL_mari,naCount_mari,mean_CC,lwrCL_CC,uprCL_CC,naCount_CC,gene,funct,NCBI,meanNA,Vib_diff,Vib_fold_diff,Mari_diff,Mari_fold_diff,CC_diff,CC_fold_diff
SPO0014,0.98,0.958,0.995,0,1.001,0.985,1.018,0,0.993,0.983,1.005,0,0.998,0.978,1.017,0,msrA-1,methionine-S-sulfoxide reductase,SPO_RS00070,0,0.021,0.03058832,0.013,0.019011969,0.018,0.026258066
SPO0015,1.052,1.01,1.1,0,1.005,0.987,1.023,0,1.02,1.002,1.041,0,1.024,1.001,1.044,0,SPO0015,hypothetical protein,SPO_RS00075,0,-0.047,-0.065939203,-0.032,-0.044565552,-0.028,-0.038918989
SPO0016,0.984,0.939,1.029,0,1.018,0.988,1.061,0,0.997,0.976,1.021,0,0.977,0.948,1,0,SPO0016,sterol carrier family protein,SPO_RS00080,0,0.034,0.049007341,0.013,0.018935189,-0.007,-0.010299753
SPO0017,1.019,1.001,1.034,0,1.014,0.994,1.037,0,1.015,1.004,1.03,0,0.99,0.969,1.011,0,SPO0017,hypothetical protein,SPO_RS00085,0,-0.005,-0.007096399,-0.004,-0.005674324,-0.029,-0.041653621
SPO0018,0,0,0,0,0.091,0,0.271,0,0.061,0,0.125,0,0.113,0,0.232,0,argG,argininosuccinate synthase,SPO_RS00090,0,0.091,Inf,0.061,Inf,0.113,Inf
SPO0019,0.975,0.958,0.991,0,0.975,0.958,0.997,0,0.977,0.969,0.988,0,0.994,0.978,1.01,0,SPO0019,hypothetical protein,SPO_RS00095,0,0,0,0.002,0.002956343,0.019,0.027843633
SPO0020,1.024,1.01,1.039,0,1.007,0.994,1.021,0,1.019,1.005,1.034,0,1.018,1.003,1.033,0,ilvA,threonine dehydratase,SPO_RS00100,0,-0.017,-0.024152032,-0.005,-0.007061664,-0.006,-0.008478154
SPO0021,0.925,0.91,0.94,0,0.961,0.948,0.974,0,0.949,0.93,0.965,0,0.948,0.93,0.966,0,SPO0021,Hpt domain protein,SPO_RS00105,0,0.036,0.055083065,0.024,0.036954722,0.023,0.035433693
SPO0022,0.993,0.975,1.008,0,0.977,0.956,0.996,0,1.004,0.985,1.02,0,0.974,0.957,0.988,0,SPO0022,response regulator,SPO_RS00110,0,-0.016,-0.023435156,0.011,0.015893646,-0.019,-0.027871945
SPO0023,1.03,0.993,1.069,0,1.026,0.999,1.059,0,1.001,0.977,1.027,0,1.004,0.982,1.032,0,SPO0023,"hydrolase, NUDIX family",SPO_RS00115,0,-0.004,-0.005613606,-0.029,-0.041202363,-0.026,-0.036885068
SPO0024,0.911,0.883,0.939,0,0.923,0.913,0.934,0,0.931,0.919,0.942,0,0.93,0.918,0.943,0,hslO,"chaperonin, 33 kDa",SPO_RS00120,0,0.012,0.018879594,0.02,0.031330114,0.019,0.029779662
SPO0025,1.015,0.987,1.042,0,0.999,0.978,1.023,0,0.995,0.974,1.017,0,1.024,0.984,1.062,0,SPO0025,"hydrolase, NUDIX family",SPO_RS00125,0,-0.016,-0.022923144,-0.02,-0.028711297,0.009,0.012735988
SPO0027,0.986,0.974,1,0,0.978,0.968,0.987,0,0.992,0.978,1.005,0,0.993,0.982,1.006,0,SPO0027,"ABC transporter, transmembrane ATP-binding protein",SPO_RS00135,0,-0.008,-0.011753181,0.006,0.008752474,0.007,0.010206071
SPO0028,0.995,0.976,1.01,0,0.992,0.973,1.009,0,0.989,0.974,1.001,0,0.991,0.97,1.009,0,SPO0028,"ABC transporter, transmembrane ATP-binding protein",SPO_RS00140,0,-0.003,-0.004356405,-0.006,-0.008726005,-0.004,-0.005811468
SPO0029,1.049,1.02,1.079,0,1.024,1.006,1.041,0,1.046,1.01,1.072,0,1.022,0.993,1.049,0,rumA,23S rRNA (Uracil-5-)-methyltransferase rumA,SPO_RS00145,0,-0.025,-0.034798963,-0.003,-0.004131826,-0.027,-0.037619482
SPO0030,1.024,1.002,1.043,0,0.998,0.982,1.014,0,1.031,1.019,1.043,0,1.027,1.009,1.046,0,SPO0030,voltage-gated sodium channel,SPO_RS00150,0,-0.026,-0.037103995,0.007,0.009828617,0.003,0.004220466
SPO0031,1.045,1.031,1.061,0,1.019,1.007,1.031,0,1.021,1.002,1.042,0,1.009,0.98,1.036,0,SPO0031,ErfK/YbiS/YcfS/YnhG family protein,SPO_RS00155,0,-0.026,-0.036348891,-0.024,-0.033520076,-0.036,-0.050576768
SPO0033,1.044,1.015,1.079,0,1.007,0.982,1.029,0,1.03,1.015,1.045,0,1.021,1.007,1.037,0,SPO0033,"transcriptional regulator, LysR family",SPO_RS00165,0,-0.037,-0.052058029,-0.014,-0.019477374,-0.023,-0.032138846
SPO0034,1.002,0.981,1.024,0,0.987,0.96,1.014,0,0.996,0.98,1.013,0,0.977,0.944,1.004,0,SPO0034,hypothetical protein,SPO_RS00170,0,-0.015,-0.021760519,-0.006,-0.008664861,-0.025,-0.036452041
SPO0035,0.998,0.978,1.018,0,0.992,0.979,1.005,0,0.986,0.972,0.999,0,0.984,0.968,0.999,0,SPO0035,core-2/I-branching enzyme family protein,SPO_RS00175,0,-0.006,-0.008699695,-0.012,-0.017452169,-0.014,-0.0203815
SPO0036,0.983,0.977,0.99,0,0.976,0.968,0.985,0,0.982,0.973,0.992,0,0.985,0.975,0.995,0,SPO0036,hypothetical protein,SPO_RS00180,0,-0.007,-0.010310269,-0.001,-0.001468392,0.002,0.002932308
SPO0037,0.991,0.982,1.003,0,0.98,0.973,0.989,0,0.994,0.985,1.006,0,0.995,0.984,1.008,0,SPO0037,hypothetical protein,SPO_RS00185,0,-0.011,-0.016103308,0.003,0.004360794,0.004,0.005811468
SPO0040,1.006,0.983,1.031,0,1.014,1.004,1.026,0,1,0.988,1.012,0,1.027,1.015,1.04,0,SPO0040,"ABC transporter, permease protein",SPO_RS00200,0,0.008,0.011427347,-0.006,-0.008630305,0.021,0.029805877
SPO0041,1.045,1.023,1.067,0,1.015,0.993,1.036,0,1.04,1.02,1.059,0,1.001,0.975,1.027,0,SPO0041,hypothetical protein,SPO_RS22085,0,-0.03,-0.042023215,-0.005,-0.006919414,-0.044,-0.062060968
SPO0042,1.018,0.984,1.052,0,0.987,0.962,1.011,0,0.996,0.973,1.02,0,1.028,0.999,1.056,0,SPO0042,"alkylated DNA repair protein, putative",SPO_RS00210,0,-0.031,-0.044615572,-0.022,-0.031519914,0.01,0.014102703
SPO0044,0.928,0.815,1.033,0,0.854,0.768,0.936,0,0.925,0.848,1.007,0,0.85,0.754,0.952,0,dnaJ,chaperone protein DnaJ,SPO_RS00220,0,-0.074,-0.119888736,-0.003,-0.00467144,-0.078,-0.126661964
SPO0045,0.991,0.964,1.019,0,1.008,0.999,1.022,0,0.998,0.966,1.029,0,1.007,0.997,1.021,0,thiD,phosphomethylpyrimidine kinase,SPO_RS00225,0,0.017,0.024538676,0.007,0.010154758,0.016,0.023106721
SPO0046,0.922,0.897,0.946,0,0.926,0.899,0.96,0,0.95,0.919,0.978,0,0.968,0.93,1.013,0,SPO0046,"thiamine biosynthesis oxidoreductase ThiO, putative",SPO_RS00230,0,0.004,0.006245443,0.028,0.043160763,0.046,0.070240297
SPO0046a,0.982,0.904,1.077,0,1.002,0.934,1.08,0,0.991,0.923,1.068,0,1.018,0.962,1.088,0,thiS,thiamine biosynthesis protein ThiS,SPO_RS00235,0,0.02,0.029087579,0.009,0.013162033,0.036,0.051942632
SPO0047,0.934,0.884,0.989,0,0.941,0.908,0.971,0,0.95,0.922,0.978,0,0.969,0.94,0.995,0,thiG,thiazole biosynthesis protein ThiG,SPO_RS00240,0,0.007,0.010772173,0.016,0.024504964,0.035,0.053074116
SPO0048,0.995,0.952,1.04,0,0.973,0.935,1.011,0,0.957,0.898,1.007,0,0.998,0.949,1.047,0,thiE,thiamine-phosphate pyrophosphorylase,SPO_RS00245,0,-0.022,-0.032256721,-0.038,-0.056177601,0.003,0.00434329
SPO0049,1.006,0.962,1.046,0,1,0.934,1.051,0,0.967,0.938,0.994,0,0.976,0.945,1.007,0,SPO0049,thiamine biosynthesis protein ThiF,SPO_RS00250,0,-0.006,-0.008630305,-0.039,-0.05704251,-0.03,-0.043677252
SPO0050,0.962,0.938,1,0,0.968,0.937,0.99,0,0.957,0.931,0.982,0,0.99,0.969,1.009,0,SPO0050,"ABC transporter, periplasmic substrate-binding protein",SPO_RS00255,0,0.006,0.008970154,-0.005,-0.007517969,0.028,0.041391631
SPO0051,0.997,0.967,1.028,0,0.999,0.975,1.024,0,0.981,0.969,0.992,0,0.985,0.963,1.012,0,SPO0051,TENA/THI-4 family protein,SPO_RS00260,0,0.002,0.002891173,-0.016,-0.023340368,-0.012,-0.01746978
SPO0052,1.008,0.963,1.056,0,0.975,0.93,1.012,0,0.994,0.969,1.015,0,1.035,0.997,1.068,0,SPO0052,"ABC transporter, ATP-binding protein",SPO_RS00265,0,-0.033,-0.048021515,-0.014,-0.020177882,0.027,0.038135129
SPO0053,0.998,0.951,1.048,0,0.96,0.926,0.995,0,0.994,0.958,1.034,0,0.984,0.952,1.018,0,SPO0053,"ABC transporter, permease protein",SPO_RS00270,0,-0.038,-0.05600541,-0.004,-0.005793964,-0.014,-0.0203815
SPO0054,0.969,0.931,1.004,0,0.947,0.897,0.997,0,0.971,0.953,0.989,0,1.002,0.986,1.019,0,radC,DNA repair protein RadC,SPO_RS00275,0,-0.022,-0.03313224,0.002,0.00297463,0.033,0.048313938
SPO0055,1.051,1.025,1.077,0,1.025,1.014,1.037,0,1.025,1.008,1.04,0,0.993,0.963,1.023,0,SPO0055,OmpA domain protein,SPO_RS00280,0,-0.026,-0.03613876,-0.026,-0.03613876,-0.058,-0.081897046
SPO0056,1.04,1.007,1.072,0,1.011,0.982,1.041,0,1.015,0.989,1.041,0,0.99,0.95,1.033,0,SPO0056,hypothetical protein,SPO_RS00285,0,-0.029,-0.040800531,-0.025,-0.035103801,-0.05,-0.071083098
SPO0057,0.889,0.319,1.309,3,0.432,0,0.88,28,0.944,0.717,1.25,11,0.65,0.138,1.132,6,secA,"preprotein translocase, SecA subunit",SPO_RS00290,12,-0.457,-1.041152107,0.055,0.086603441,-0.239,-0.451743701
SPO0058,1.016,1.002,1.032,0,1.008,0.968,1.044,0,1.018,1.004,1.032,0,1.048,1.027,1.066,0,SPO0058,PPIC-type PPIASE domain protein,SPO_RS00295,0,-0.008,-0.011404763,0.002,0.002837159,0.032,0.044738315
SPO0059,0.966,0.951,0.981,0,0.967,0.926,1.008,0,0.99,0.975,1.006,0,1.024,0.997,1.047,0,argJ,glutamate N-acetyltransferase/amino-acid acetyltransferase,SPO_RS00300,0,0.001,0.001492701,0.024,0.035405336,0.058,0.084120621
SPO0060,1.054,1.04,1.07,0,1.062,1.042,1.082,0,1.052,1.03,1.07,0,1.047,1.029,1.067,0,mutT,mutator mutT protein,SPO_RS00305,0,0.008,0.010908899,-0.002,-0.002740162,-0.007,-0.009613425
SPO0062,0.465,0,0.974,0,0.524,0,1.084,0,0.413,0,0.83,0,0.472,0,0.944,0,SPO0062,hypothetical protein,SPO_RS00315,0,0.059,0.172336096,-0.052,-0.171088935,0.007,0.021556143
SPO0063,0.163,0,0.497,0,0.498,0,1.019,0,0.594,0.195,0.864,0,0.228,0,0.695,0,nusA,transcription termination factor NusA,SPO_RS00320,0,0.335,1.611273778,0.431,1.865590967,0.065,0.48416186
SPO0066,0.969,0.946,0.991,0,0.97,0.954,0.986,0,0.931,0.905,0.956,0,0.969,0.955,0.985,0,pip,proline iminopeptidase,SPO_RS00335,0,0.001,0.001488082,-0.038,-0.057715498,0,0
SPO0067,0.882,0.751,1.004,0,0.921,0.821,1.033,0,0.912,0.794,1.038,0,1.039,0.903,1.165,0,ubiG,3-demethylubiquinone-9 3-methyltransferase,SPO_RS00340,0,0.039,0.062422501,0.03,0.048255169,0.157,0.236345093
SPO0068,1.012,0.963,1.07,0,0.911,0.87,0.964,0,0.952,0.921,0.983,0,0.923,0.868,0.981,0,SPO0068,"transcriptional regulator, putative",SPO_RS00345,0,-0.101,-0.151686331,-0.06,-0.088175811,-0.089,-0.132806737
SPO0069,1.015,0.993,1.038,0,0.963,0.923,1.002,0,0.999,0.982,1.016,0,1.001,0.973,1.028,0,SPO0069,"hydrolase, carbon-nitrogen family",SPO_RS00350,0,-0.052,-0.075872024,-0.016,-0.022923144,-0.014,-0.020037753
SPO0070,0.996,0.946,1.042,0,0.98,0.935,1.022,0,0.999,0.954,1.044,0,0.996,0.946,1.042,0,SPO0070,glutaredoxin,SPO_RS00355,0,-0.016,-0.023363993,0.003,0.004338936,0,0
SPO0071,1.055,1.022,1.096,0,0.972,0.924,1.02,0,0.991,0.962,1.026,0,0.92,0.846,0.988,0,SPO0071,"competence protein F, putative",SPO_RS00360,0,-0.083,-0.11821478,-0.064,-0.090286036,-0.135,-0.197537233
SPO0072,0.899,0.764,1.038,0,0.955,0.773,1.134,0,0.805,0.64,0.962,0,0.843,0.282,1.189,0,SPO0072,hypothetical protein,SPO_RS00365,0,0.056,0.087179617,-0.094,-0.159332333,-0.056,-0.092788485
SPO0075,1.057,1.04,1.074,0,1.059,1.032,1.089,0,1.05,1.031,1.069,0,1.059,1.037,1.08,0,SPO0075,ErfK/YbiS/YcfS/YnhG family protein/Tat domain protein,SPO_RS00380,0,0.002,0.002727213,-0.007,-0.009586049,0.002,0.002727213
SPO0077,0.963,0.925,1.002,0,0.902,0.861,0.942,0,0.907,0.884,0.931,0,0.922,0.881,0.957,0,ptsN,PTS IIA-like nitrogen-regulatory protein PtsN,SPO_RS00390,0,-0.061,-0.094408365,-0.056,-0.086433247,-0.041,-0.062769047
SPO0078,1.072,1.045,1.098,0,1.028,1.009,1.05,0,1.055,1.031,1.077,0,1.014,0.985,1.043,0,SPO0078,"ribosomal subunit interface protein, putative",SPO_RS00395,0,-0.044,-0.060464641,-0.017,-0.023061907,-0.058,-0.080247253
SPO0084,1.058,1.037,1.078,0,1.029,1.01,1.045,0,1.019,1.002,1.034,0,1.031,1.008,1.056,0,betB,betaine aldehyde dehydrogenase,SPO_RS00425,0,-0.029,-0.040096645,-0.039,-0.054185576,-0.027,-0.037295295
SPO0085,0.883,0.81,0.957,0,0.92,0.853,0.987,0,0.91,0.84,0.977,0,0.967,0.926,1.007,0,SPO0085,hypothetical protein,SPO_RS00430,0,0.037,0.059220423,0.027,0.043453107,0.084,0.131102452
SPO0086,1.048,1.035,1.06,0,1.036,1.019,1.057,0,1.03,1.023,1.038,0,1.032,1.02,1.045,0,SPO0086,"lipoprotein, putative",SPO_RS00435,0,-0.012,-0.016614714,-0.018,-0.024994379,-0.016,-0.022195746
SPO0087,1.001,0.968,1.032,0,0.985,0.965,1.004,0,1.009,0.998,1.02,0,0.978,0.964,0.994,0,SPO0087,hypothetical protein,SPO_RS00440,0,-0.016,-0.023246344,0.008,0.0114842,-0.023,-0.033535604
SPO0088,1.018,0.957,1.074,0,1.005,0.991,1.021,0,0.997,0.963,1.031,0,1.016,0.982,1.041,0,SPO0088,hypothetical protein,SPO_RS00445,0,-0.013,-0.01854206,-0.021,-0.030072152,-0.002,-0.002837159
SPO0089,1.022,0.998,1.056,0,1.007,0.99,1.021,0,0.982,0.963,0.999,0,0.976,0.945,1.013,0,SPO0089,hypothetical protein,SPO_RS00450,0,-0.015,-0.021331513,-0.04,-0.057600267,-0.046,-0.066442143
SPO0090,0.995,0.965,1.029,0,0.984,0.959,1.012,0,0.985,0.959,1.012,0,0.961,0.935,0.989,0,SPO0090,hypothetical protein,SPO_RS00455,0,-0.011,-0.01603821,-0.01,-0.014572801,-0.034,-0.050160095
SPO0091,1.013,0.986,1.036,0,1.044,1.017,1.065,0,1.028,1.013,1.044,0,1.012,0.992,1.033,0,SPO0091,rhodanese-like domain protein,SPO_RS00460,0,0.031,0.043487538,0.015,0.02120609,-0.001,-0.001424884
SPO0092,0.955,0.876,1.023,0,0.928,0.893,0.969,0,0.97,0.936,1.008,0,0.994,0.96,1.034,0,SPO0092,"heat shock protein, Hsp70 family",SPO_RS00465,0,-0.027,-0.041375928,0.015,0.022484014,0.039,0.057745119
SPO0093,1.007,0.949,1.067,0,1.039,1.005,1.074,0,1.019,0.993,1.046,0,1.011,0.974,1.054,0,pncA,pyrazinamidase/nicotinamidase,SPO_RS00470,0,0.032,0.045131971,0.012,0.017090368,0.004,0.005719314
SPO0094,0.983,0.95,1.018,0,0.97,0.939,1,0,0.952,0.934,0.972,0,0.985,0.962,1.013,0,SPO0094,sensory box sensor histidine kinase/response regulator,SPO_RS00475,0,-0.013,-0.019206669,-0.031,-0.046229843,0.002,0.002932308
SPO0095,0.889,0.841,0.925,0,0.958,0.929,0.992,0,0.958,0.94,0.977,0,0.937,0.892,0.975,0,pncB,nicotinate phosphoribosyltransferase,SPO_RS00480,0,0.069,0.107842237,0.069,0.107842237,0.048,0.075865629
SPO0096,0.969,0.931,1.012,0,0.969,0.916,1.019,0,0.992,0.96,1.027,0,0.992,0.96,1.027,0,SPO0096,hypothetical protein,SPO_RS00485,0,0,0,0.023,0.033843455,0.023,0.033843455
SPO0097,0.993,0.97,1.017,0,0.98,0.961,1,0,0.98,0.955,1.006,0,0.982,0.961,1.004,0,SPO0097,aldehyde dehydrogenase family protein,SPO_RS00490,0,-0.013,-0.019011969,-0.013,-0.019011969,-0.011,-0.016070693
SPO0098,0.956,0.936,0.975,0,0.937,0.912,0.963,0,0.957,0.927,0.98,0,0.946,0.922,0.97,0,SPO0098,"peptide/opine/nickel uptake family ABC transporter, ATP-binding protein",SPO_RS00495,0,-0.019,-0.02896157,0.001,0.001508307,-0.01,-0.015170435
SPO0099,0.958,0.925,0.992,0,0.968,0.94,0.999,0,0.961,0.936,0.989,0,0.971,0.946,0.991,0,SPO0099,"peptide/opine/nickel uptake family ABC transporter, permease protein",SPO_RS00500,0,0.01,0.014981392,0.003,0.004510775,0.013,0.01944564
SPO0100,0.999,0.943,1.059,0,1,0.945,1.057,0,1.029,0.991,1.076,0,1.018,0.972,1.068,0,SPO0100,"peptide/opine/nickel uptake family ABC transporter, permease protein",SPO_RS00505,0,0.001,0.001443417,0.03,0.042686399,0.019,0.027180978
SPO0101,0.985,0.965,1.002,0,0.994,0.977,1.007,0,0.987,0.969,1.003,0,0.988,0.967,1.011,0,SPO0101,"peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein",SPO_RS00510,0,0.009,0.013122127,0.002,0.00292636,0.003,0.004387317
SPO0102,0.74,0.695,0.79,0,1.001,0.978,1.024,0,0.992,0.974,1.007,0,1.01,0.968,1.046,0,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,SPO_RS00515,0,0.261,0.435844798,0.252,0.42281485,0.27,0.448758117
SPO0103,0.762,0.704,0.817,0,1.05,0.994,1.099,0,1.032,0.991,1.069,0,1.027,0.972,1.077,0,panC,pantoate--beta-alanine ligase,SPO_RS00520,0,0.288,0.462526425,0.27,0.437580068,0.265,0.430573279
SPO0104,1.011,0.989,1.035,0,1.001,0.987,1.015,0,1.005,0.996,1.012,0,0.994,0.973,1.011,0,glpK,glycerol kinase,SPO_RS00525,0,-0.01,-0.014341023,-0.006,-0.008587496,-0.017,-0.02446524
SPO0105,0.987,0.959,1.02,0,0.992,0.964,1.023,0,0.992,0.968,1.018,0,0.988,0.96,1.017,0,SPO0105,monooxygenase family protein,SPO_RS00530,0,0.005,0.007290036,0.005,0.007290036,0.001,0.001460957
SPO0106,1.016,0.994,1.042,0,1.015,0.995,1.036,0,1.008,0.992,1.026,0,1.018,1,1.035,0,SPO0106,hypothetical protein,SPO_RS00535,0,-0.001,-0.001420675,-0.008,-0.011404763,0.002,0.002837159
SPO0107,1.034,1.01,1.064,0,1.01,0.987,1.037,0,1.018,1,1.04,0,0.997,0.979,1.022,0,recQ,ATP-dependent DNA helicase RecQ,SPO_RS00540,0,-0.024,-0.033880893,-0.016,-0.022498624,-0.037,-0.052570776
SPO0108,0.981,0.919,1.043,0,0.995,0.955,1.032,0,0.937,0.89,0.988,0,0.985,0.935,1.034,0,SPO0108,"transposase, truncation",SPO_RS22360,0,0.014,0.020443389,-0.044,-0.066204089,0.004,0.005870588
SPO0109,1.005,0.991,1.02,0,1.003,0.984,1.024,0,1.011,1.001,1.022,0,1.013,1.001,1.024,0,SPO0109,hypothetical protein,SPO_RS00545,0,-0.002,-0.002873895,0.006,0.008587496,0.008,0.011438673
SPO0110,1.027,1.016,1.04,0,1.02,1.009,1.03,0,1.017,1.009,1.026,0,1.018,1.011,1.025,0,SPO0110,"ABC transporter, ATP binding/permease protein",SPO_RS00550,0,-0.007,-0.009867029,-0.01,-0.014116502,-0.009,-0.01269862
SPO0111,1.042,1.032,1.053,0,1.036,1.022,1.051,0,1.032,1.022,1.043,0,1.044,1.029,1.059,0,SPO0111,hypothetical protein,SPO_RS00555,0,-0.006,-0.008331275,-0.01,-0.013912307,0.002,0.002766434
SPO0112,1.033,1.019,1.047,0,1.019,1.007,1.031,0,1.018,1.01,1.026,0,1.018,1.007,1.028,0,SPO0112,poly(3-hydroxyalkanoate) polymerase family protein,SPO_RS00560,0,-0.014,-0.019686203,-0.015,-0.021102693,-0.015,-0.021102693
SPO0113,1.008,0.98,1.036,0,1.021,1.002,1.041,0,1.024,0.998,1.047,0,1.023,1.011,1.038,0,fabI-1,enoyl-(acyl-carrier-protein) reductase,SPO_RS00565,0,0.013,0.018487227,0.016,0.022720077,0.015,0.021310506
SPO0114,1.043,1.009,1.078,0,1.026,0.977,1.074,0,1.022,0.992,1.051,0,1.02,0.976,1.079,0,SPO0114,hypothetical protein,SPO_RS00570,0,-0.017,-0.023708427,-0.021,-0.029343962,-0.023,-0.032170006
SPO0115,1.008,0.991,1.025,0,1.006,0.983,1.026,0,0.995,0.981,1.009,0,0.985,0.966,1,0,SPO0115,maoC family protein/phosphate acetyl/butaryl transferase,SPO_RS00575,0,-0.002,-0.002865334,-0.013,-0.018727208,-0.023,-0.033300009
SPO0116,1.003,0.983,1.02,0,1.02,1.004,1.033,0,1.017,1,1.033,0,1.011,0.992,1.026,0,ackA,acetate kinase,SPO_RS00580,0,0.017,0.024247546,0.014,0.019998073,0.008,0.011461391
SPO0118,0.939,0.932,0.947,0,0.946,0.939,0.952,0,0.948,0.941,0.955,0,0.96,0.937,0.991,0,SPO0118,hypothetical protein,SPO_RS00600,0,0.007,0.010715026,0.009,0.013761901,0.021,0.031909248
SPO0119,1.039,0.953,1.121,0,1.047,0.979,1.108,0,1.049,0.986,1.103,0,1.061,0.992,1.12,0,SPO0119,"transcriptional regulator, AsnC family",SPO_RS00605,0,0.008,0.011065788,0.01,0.013819024,0.022,0.030229002
SPO0120,0.987,0.959,1.015,0,1.008,0.987,1.029,0,0.998,0.976,1.021,0,1.015,0.983,1.046,0,SPO0120,hypothetical protein,SPO_RS00610,0,0.021,0.030373649,0.011,0.015989731,0.028,0.040357738
SPO0122,1.023,0.979,1.071,0,0.985,0.942,1.03,0,0.991,0.948,1.038,0,1.003,0.952,1.052,0,SPO0122,YGGT family protein,SPO_RS00625,0,-0.038,-0.054610515,-0.032,-0.045849183,-0.02,-0.028484539
SPO0123,0.948,0.919,0.979,0,1.003,0.984,1.027,0,0.992,0.97,1.014,0,0.979,0.959,0.999,0,SPO0123,hypothetical protein,SPO_RS00630,0,0.055,0.081362642,0.044,0.065453061,0.031,0.046421801
SPO0124,1.053,1.034,1.072,0,1.035,1.02,1.05,0,1.026,1.016,1.036,0,1.023,1.004,1.042,0,mepA,murein endopeptidase,SPO_RS00635,0,-0.018,-0.024874669,-0.027,-0.037474705,-0.03,-0.041699291
SPO0125,1.028,0.966,1.092,0,0.973,0.937,1.007,0,1.017,0.984,1.05,0,0.996,0.96,1.032,0,SPO0125,hypothetical protein,SPO_RS00640,0,-0.055,-0.079328554,-0.011,-0.015520585,-0.032,-0.045622617
SPO0126,1.029,0.986,1.072,0,1.045,1.018,1.071,0,1.03,1.009,1.049,0,1.036,0.999,1.068,0,SPO0126,hypothetical protein,SPO_RS00645,0,0.016,0.02225996,0.001,0.001401355,0.007,0.009781021
