spo,mean_rpomAlone,lwrCL_rpomAlone,uprCL_rpomAlone,stdev_rpomAlone,lwrCL_adj_rpomAlone,uprCL_adj_rpomAlone,naCount_rpomAlone,mean_vib,lwrCL_vib,uprCL_vib,stdev_vib,lwrCL_adj_vib,uprCL_adj_vib,naCount_vib,mean_mari,lwrCL_mari,uprCL_mari,stdev_mari,lwrCL_adj_mari,uprCL_adj_mari,naCount_mari,mean_CC,lwrCL_CC,uprCL_CC,stdev_CC,lwrCL_adj_CC,uprCL_adj_CC,naCount_CC,gene,funct,NCBI,meanNA,Vib_fold_diff,Mari_fold_diff,CC_fold_diff,Vib_sig,Mari_sig,CC_sig,Group,Category,Subcategory,Metabolism,COG,COG_Category,COG_Name
SPO0410,0.656,0.582,0.733,0.039,0.538,0.794,0,0.873,0.834,0.916,0.021,0.812,0.954,0,0.743,0.696,0.794,0.025,0.668,0.834,0,0.807,0.759,0.86,0.026,0.732,0.921,0,SPO0410,"molybdopterin biosynthesis protein MoeB, putative",SPO_RS02075,0,0.407,0.177,0.295,yes,NA,NA,Crossfeeding,Cofactor,Molybdopterin,Anabolic,COG0476,Coenzyme,"molybdopterin biosynthesis protein MoeB, putative"
SPO0422,0.382,0.286,0.451,0.042,0.24,0.479,0,0.584,0.544,0.615,0.019,0.517,0.628,0,0.578,0.508,0.642,0.035,0.468,0.67,0,0.568,0.487,0.646,0.042,0.441,0.681,0,leuA,2-isopropylmalate synthase,SPO_RS02135,0,0.6,0.585,0.56,yes,NA,NA,Crossfeeding,Amino Acid,Leucine,Anabolic,COG0119,AA,2-isopropylmalate synthase (EC 2.3.3.13)
SPO0446,0.798,0.761,0.834,0.019,0.735,0.86,0,0.929,0.906,0.955,0.013,0.891,0.973,0,0.95,0.926,0.975,0.013,0.907,0.992,0,0.93,0.89,0.967,0.02,0.857,0.993,0,SPO0446,"ABC transporter, ATP-binding protein",SPO_RS02255,0,0.217,0.249,0.218,yes,yes,NA,NA,,,NA,NA,NA,NA
SPO0503,0.627,0.583,0.67,0.022,0.559,0.698,0,0.804,0.756,0.853,0.025,0.725,0.886,0,0.737,0.681,0.792,0.029,0.644,0.822,0,0.791,0.748,0.837,0.023,0.72,0.878,0,rpmD,ribosomal protein L30,SPO_RS02540,0,0.354,0.23,0.331,yes,NA,yes,Altered environment,Cell Cycle/Growth,Transcription/Ribosome,Anabolic,COG1841,translation,LSU ribosomal protein L30P
SPO0521,0.906,0.853,0.952,0.026,0.805,0.973,0,1.035,1.004,1.066,0.016,0.98,1.09,0,0.989,0.964,1.014,0.013,0.94,1.027,0,1.063,1.029,1.096,0.017,1.003,1.119,0,SPO0521,"glutamate/glutamine/aspartate/asparagine ABC transporter, permease protein",SPO_RS02630,0,0.19,0.125,0.228,yes,NA,yes,Competition,"Transporter, primary","Amino acid, N-rich",Transport,COG0765,AA,L-glutamate ABC transporter membrane protein/L-glutamine ABC transporter membrane protein/L-aspartate ABC transporter membrane protein/L-asparagine ABC transporter membrane protein
SPO0711,0.884,0.85,0.917,0.017,0.824,0.941,0,1.049,1.028,1.07,0.011,1.013,1.086,0,1.029,0.988,1.066,0.02,0.962,1.079,0,1.028,0.976,1.083,0.028,0.949,1.113,0,chvG,sensor histidine kinase ChvG,SPO_RS03590,0,0.244,0.217,0.215,yes,yes,yes,Regulation/Signaling,,,NA,NA,NA,NA
SPO0923,0.998,0.862,1.088,0.091,0.862,1.088,4424,0.647,0.624,0.717,0.035,0.624,0.717,3182,0.701,0.512,0.85,0.129,0.512,0.85,4281,0.766,0.63,0.88,0.094,0.63,0.88,4404,carB,"carbamoyl-phosphate synthase, large subunit",SPO_RS04650,4072.75,-0.618,-0.504,-0.377,yes,yes,NA,Competition,Nitrogen acquisition,Urea cycle,Anabolic,COG0458,"AA, nucleotide",carbamoyl-phosphate synthase large subunit
SPO1042,0.84,0.748,0.929,0.048,0.694,0.985,0,1.088,1.027,1.168,0.037,1,1.218,0,0.899,0.813,0.975,0.041,0.764,1.029,0,0.977,0.893,1.058,0.041,0.85,1.11,0,SPO1042,hypothetical protein,SPO_RS05250,0,0.369,0.097,0.216,yes,NA,NA,Hypothetical,,,NA,NA,NA,NA
SPO1294,1.026,0.972,1.071,0.025,0.929,1.096,0,0.809,0.758,0.853,0.025,0.708,0.871,0,0.87,0.822,0.911,0.023,0.777,0.929,0,0.863,0.789,0.938,0.038,0.721,0.99,0,SPO1294,polyhydroxyalkanoate synthesis repressor PhaR,SPO_RS06590,0,-0.339,-0.235,-0.247,yes,NA,NA,Competition,"Storage, carbon",Polyhydroxyalkanoate,NA,NA,NA,NA
SPO1344,0.095,0,0.372,0.145,0,0.372,3136,0.995,0.699,1.283,0.135,0.656,1.283,169,0.504,0,0.824,0.293,0,0.824,1611,0.459,0,0.905,0.336,0,0.905,2282,xseA,"exodeoxyribonuclease VII, large subunit",SPO_RS06850,1799.5,3.259,2.291,2.159,yes,NA,NA,Central Metabolism,Catabolism,DNA,NA,NA,NA,NA
SPO1383,0.619,0.565,0.673,0.027,0.55,0.691,0,0.833,0.806,0.867,0.016,0.794,0.895,0,0.783,0.721,0.843,0.03,0.694,0.856,0,0.898,0.883,0.913,0.008,0.873,0.923,0,ctaD,"cytochrome c oxidase, aa3-type, subunit I",SPO_RS07060,0,0.422,0.334,0.53,yes,yes,yes,Altered environment,Energy,Aerobic Respiration,Catabolic,COG0843,Energy,"cytochrome c oxidase, aa3-type, subunit I"
SPO1443,0.708,0.666,0.753,0.023,0.634,0.78,0,0.953,0.891,1.017,0.033,0.859,1.069,0,0.905,0.862,0.947,0.022,0.83,0.98,0,0.933,0.872,0.985,0.029,0.82,1.025,0,rhlE,ATP-dependent RNA helicase RhlE,SPO_RS07355,0,0.424,0.35,0.393,yes,yes,yes,Altered environment,Cell Cycle/Growth,Transcription/Ribosome,NA,NA,NA,NA
SPO1480,0.315,0,0.845,0.331,0,0.845,2298,1.217,0.989,1.489,0.125,0.896,1.646,16,0.855,0,1.241,0.27,0,1.241,634,0.714,0,1,0.246,0,1,954,SPO1480,short chain dehydrogenase,SPO_RS07540,975.5,1.917,1.412,1.156,yes,NA,NA,Central Metabolism,Catabolism,Fatty Acid,NA,NA,NA,NA
SPO1496,0.75,0.651,0.85,0.052,0.589,0.938,0,1.034,0.982,1.099,0.03,0.953,1.144,0,0.975,0.932,1.033,0.026,0.917,1.066,0,1.044,0.975,1.119,0.037,0.919,1.18,0,SPO1496,"ABC transporter, permease protein",SPO_RS07620,0,0.458,0.374,0.472,yes,NA,NA,NA,,,NA,NA,NA,NA
SPO1526,1.38,1.224,1.522,0.101,1.224,1.522,3197,1.016,0.902,1.124,0.084,0.902,1.124,4347,1.133,0.973,1.276,0.099,0.973,1.276,3119,0.991,0.744,1.164,0.167,0.744,1.164,4316,SPO1526,"efflux transporter, RND family, MFP subunit",SPO_RS07765,3744.75,-0.438,-0.282,-0.474,yes,NA,yes,NA,,,NA,NA,NA,NA
SPO1723,1.261,1.229,1.3,0.018,1.218,1.328,0,1.023,0.972,1.072,0.026,0.934,1.102,0,1.036,0.977,1.089,0.029,0.934,1.129,0,1.072,1.048,1.104,0.015,1.044,1.123,0,uxuA,mannonate dehydratase,SPO_RS08770,0,-0.299,-0.281,-0.232,yes,yes,yes,Competition,Carbon source,Fructuronate,Catabolic,COG1312,Carbon,D-mannonate dehydratase (EC 4.2.1.8)
SPO1816,1.089,1.072,1.104,0.008,1.057,1.114,0,0.967,0.923,1.012,0.023,0.895,1.029,0,0.969,0.945,0.995,0.013,0.928,1.015,0,0.966,0.935,0.997,0.016,0.915,1.015,0,SPO1816,"TRAP dicarboxylate transporter, DctM subunit, putative",SPO_RS09240,0,-0.17,-0.167,-0.171,yes,yes,yes,Competition,"Transporter, secondary",Organic acid,Transport,COG1593,Carbon,"TRAP dicarboxylate transporter, DctM subunit, putative"
SPO1870,0.047,0,0.123,0.033,0,0.173,0,0.412,0.284,0.541,0.064,0.238,0.592,0,0.259,0.079,0.388,0.079,0,0.442,0,0.504,0.432,0.566,0.035,0.372,0.611,0,purL,phosphoribosylformylglycinamidine synthase II,SPO_RS09505,0,2.888,2.239,3.173,yes,NA,yes,Crossfeeding,Nucleotide,Purine,Anabolic,COG0046,nucleotide,phosphoribosylformylglycinamidine synthase subunit II (EC 6.3.5.3)
SPO1921,0.446,0.144,0.698,0.143,0,0.815,0,1.036,0.989,1.077,0.023,0.947,1.104,0,0.846,0.781,0.917,0.036,0.746,0.975,0,0.77,0.464,0.946,0.133,0.288,0.965,0,SPO1921,pyridoxal-phosphate dependent enzyme,SPO_RS09750,0,1.198,0.909,0.774,yes,NA,NA,Crossfeeding,Amino Acid,Cysteine,Anabolic,COG0031,AA,pyridoxal-phosphate dependent enzyme
SPO2355,0.499,0.42,0.579,0.041,0.382,0.623,0,0.928,0.849,1.012,0.042,0.802,1.061,0,0.713,0.605,0.787,0.049,0.528,0.811,0,0.868,0.814,0.918,0.027,0.769,0.941,0,iseR,Isethionate dissimilation regulator,SPO_RS11950,0,0.882,0.506,0.787,yes,NA,yes,Regulation/Signaling,,,NA,NA,NA,NA
SPO2630,1.196,1.145,1.245,0.025,1.124,1.279,0,0.998,0.936,1.054,0.03,0.893,1.088,0,1.073,0.981,1.136,0.041,0.917,1.168,0,1.072,1.037,1.106,0.018,1.01,1.123,0,SPO2630,C4-dicarboxylate transport sensor protein,SPO_RS13340,0,-0.259,-0.155,-0.157,yes,NA,yes,Competition,"Transporter, secondary",Organic acid,NA,NA,NA,NA
SPO2635,0,0,0,0,0,0,0,0.795,0.625,0.962,0.087,0.463,1.058,0,0.14,0,0.432,0.122,0,0.641,0,0.535,0.178,0.815,0.167,0,0.923,0,cysH,phosophoadenylyl-sulfate reductase,SPO_RS13365,0,6.331,3.907,5.768,yes,NA,NA,Crossfeeding,Sulfur Metabolism,Reduced sulfur,Anabolic,COG0175,"AA, Coenzyme",phosphoadenylylsulfate reductase (thioredoxin) (EC 1.8.4.8)
SPO2677,0.279,0.105,0.409,0.076,0.032,0.45,0,0.635,0.56,0.709,0.037,0.548,0.719,0,0.366,0.3,0.43,0.032,0.288,0.44,0,0.569,0.39,0.748,0.09,0.355,0.78,0,purF,amidophosphoribosyltransferase,SPO_RS13580,0,1.158,0.38,1.002,yes,NA,NA,Crossfeeding,Nucleotide,Purine,Anabolic,COG0034,nucleotide,amidophosphoribosyltransferase (EC 2.4.2.14)
SPO2815,1.074,1.061,1.084,0.006,1.049,1.092,0,0.993,0.947,1.024,0.02,0.91,1.033,0,1.049,1.022,1.078,0.014,1.004,1.097,0,1.007,0.941,1.06,0.031,0.894,1.083,0,SPO2815,"peptide/nickel/opine uptake family ABC transporter, permease protein",SPO_RS14300,0,-0.112,-0.034,-0.092,yes,NA,NA,Competition,"Transporter, primary",Peptide,Transport,COG0601,"AA, Inorganics","peptide/nickel/opine uptake family ABC transporter, permease protein"
SPO2819,0.764,0.739,0.792,0.014,0.725,0.816,0,1.005,0.977,1.035,0.015,0.954,1.066,0,0.984,0.946,1.02,0.019,0.919,1.047,0,1.041,1.001,1.079,0.02,0.963,1.103,0,pntB,"NAD(P)+ transhydrogenase, beta subunit",SPO_RS14320,0,0.391,0.361,0.441,yes,yes,yes,Altered environment,Energy,Aerobic Respiration,Anabolic,COG1282,Energy,"NAD(P)+ transhydrogenase, beta subunit"
SPO2952,0.504,0.443,0.566,0.031,0.411,0.603,0,0.921,0.879,0.965,0.022,0.849,1.001,0,0.705,0.643,0.769,0.033,0.605,0.813,0,0.957,0.904,1.005,0.026,0.864,1.027,0,SPO2952,trkA domain protein,SPO_RS14970,0,0.857,0.476,0.912,yes,yes,yes,NA,,,,COG0471,Carbon,trkA domain protein
SPO2953,1.03,1.01,1.046,0.009,0.992,1.052,0,0.877,0.815,0.939,0.032,0.782,0.954,0,0.867,0.845,0.884,0.01,0.824,0.887,0,0.819,0.751,0.872,0.032,0.702,0.881,0,SPO2953,Ser/Thr protein phosphatase family protein,SPO_RS14975,0,-0.23,-0.246,-0.327,yes,yes,yes,NA,,,NA,NA,NA,NA
SPO2964,1.113,1.081,1.146,0.017,1.066,1.172,0,0.994,0.953,1.038,0.022,0.938,1.06,0,1.031,0.991,1.067,0.02,0.961,1.086,0,1.039,1.017,1.061,0.011,1.001,1.08,0,SPO2964,hypothetical protein,,0,-0.162,-0.109,-0.098,yes,NA,NA,Hypothetical,,,NA,NA,NA,NA
SPO3032,1.065,1.036,1.102,0.017,1.021,1.128,0,0.972,0.952,1,0.012,0.945,1.019,0,1.001,0.989,1.012,0.006,0.982,1.021,0,0.976,0.949,0.998,0.012,0.93,1.01,0,edd,phosphogluconate dehydratase,SPO_RS15370,0,-0.131,-0.089,-0.125,yes,NA,yes,Central Metabolism,Catabolism,Sugar,Catabolic,COG0129,"AA, Carbon",6-phosphogluconate dehydratase (EC 4.2.1.12)
SPO3034,0.649,0.6,0.698,0.025,0.58,0.715,0,0.944,0.903,0.985,0.021,0.888,0.999,0,0.871,0.781,0.943,0.043,0.731,0.969,0,0.99,0.963,1.01,0.012,0.942,1.018,0,SPO3034,phosphoenolpyruvate-protein phosphotransferase,SPO_RS15380,0,0.534,0.419,0.602,yes,yes,yes,Competition,"Transporter, phosphotransferase",Sugar,NA,NA,NA,NA
SPO3073,0.62,0.579,0.66,0.021,0.549,0.688,0,0.838,0.812,0.865,0.014,0.799,0.888,0,0.781,0.751,0.811,0.016,0.733,0.832,0,0.846,0.818,0.878,0.015,0.803,0.905,0,ctaE,"cytochrome c oxidase, subunit III",SPO_RS15570,0,0.429,0.328,0.442,yes,yes,yes,Altered environment,Energy,Aerobic Respiration,Catabolic,COG1845,Energy,"cytochrome c oxidase, subunit III"
SPO3075,0.47,0.4,0.54,0.036,0.387,0.576,0,0.871,0.852,0.892,0.01,0.843,0.913,0,0.762,0.657,0.846,0.047,0.604,0.885,0,0.861,0.779,0.912,0.036,0.734,0.933,0,ctaB,Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme O synthase),SPO_RS15580,0,0.876,0.686,0.86,yes,yes,yes,Altered environment,Energy,Aerobic Respiration,Catabolic,COG0109,"Coenzyme, lipids",protoheme IX farnesyltransferase
SPO3076,0.593,0.558,0.624,0.017,0.531,0.64,0,0.802,0.768,0.844,0.02,0.749,0.874,0,0.819,0.77,0.882,0.029,0.748,0.924,0,0.829,0.795,0.865,0.018,0.773,0.89,0,ctaC,"cytochrome c oxidase, subunit II",SPO_RS15585,0,0.429,0.459,0.477,yes,yes,yes,Altered environment,Energy,Aerobic Respiration,Catabolic,COG1622,Energy,"cytochrome c oxidase, subunit II"
SPO3339,1.033,0.976,1.074,0.026,0.939,1.092,0,0.84,0.763,0.909,0.038,0.719,0.938,0,0.93,0.857,1.003,0.038,0.832,1.047,0,1.024,0.968,1.074,0.028,0.931,1.101,0,SPO3339,bioY family protein,SPO_RS16915,0,-0.295,-0.15,-0.013,yes,NA,NA,Competition,"Transporter, primary",Biotin,Transport,COG1268,Coenzyme,bioY family protein
SPO3478,0.985,0.965,1.007,0.011,0.955,1.03,0,0.833,0.803,0.858,0.014,0.782,0.87,0,0.921,0.894,0.945,0.013,0.874,0.962,0,0.904,0.89,0.919,0.007,0.882,0.934,0,glcD,"glycolate oxidase, GlcD subunit",SPO_RS17615,0,-0.239,-0.096,-0.123,yes,NA,yes,Competition,Carbon source,Glycolate,Catabolic,COG0277,Energy,"glycolate oxidase, GlcD subunit"
SPO3479,0.983,0.946,1.022,0.019,0.927,1.055,0,0.722,0.648,0.785,0.036,0.598,0.813,0,0.921,0.887,0.953,0.017,0.861,0.974,0,0.87,0.768,0.939,0.045,0.706,0.968,0,glcE,"glycolate oxidase, GlcE subunit",SPO_RS17620,0,-0.44,-0.093,-0.174,yes,NA,NA,Competition,Carbon source,Glycolate,Catabolic,COG0277,Energy,"glycolate oxidase, GlcE subunit"
SPO3561,0.39,0.307,0.469,0.041,0.264,0.515,0,0.754,0.703,0.814,0.029,0.68,0.857,0,0.468,0.324,0.577,0.067,0.237,0.598,0,0.68,0.639,0.719,0.021,0.607,0.746,0,xsc,sulfoacetaldehyde acetyltransferase,SPO_RS18040,0,0.934,0.257,0.787,yes,NA,yes,Central Metabolism,Catabolism,Sulfoacetaldehyde,Catabolic,COG0028,"AA, Coenzyme",sulfoacetaldehyde acetyltransferase (EC 2.3.3.15)
SPO3604,0.853,0.813,0.894,0.021,0.796,0.918,0,0.968,0.958,0.979,0.005,0.95,0.987,0,0.918,0.884,0.95,0.017,0.865,0.957,0,1.008,0.972,1.051,0.02,0.954,1.076,0,SPO3604,"D-amino acid aminotransferase, putative",SPO_RS18260,0,0.18,0.105,0.238,yes,NA,yes,Central Metabolism,Amino Acid,Alanine,Catabolic,COG0115,"AA, Coenzyme","D-amino acid aminotransferase, putative"
SPO3623,1.036,1.022,1.049,0.007,1.011,1.057,0,0.928,0.871,0.984,0.028,0.861,0.996,0,1.014,0.995,1.036,0.01,0.984,1.052,0,0.99,0.953,1.028,0.019,0.938,1.046,0,SPO3623,hypothetical protein,SPO_RS18355,0,-0.157,-0.031,-0.065,yes,NA,NA,Hypothetical,,,NA,NA,NA,NA
SPO3684,0.883,0.87,0.894,0.006,0.862,0.902,0,0.951,0.928,0.968,0.01,0.911,0.974,0,0.887,0.867,0.907,0.01,0.855,0.916,0,0.981,0.956,1.004,0.012,0.939,1.017,0,SPO3684,"transcriptional regulator, LacI family",SPO_RS18690,0,0.106,0.006,0.15,yes,NA,yes,Regulation/Signaling,,,NA,NA,NA,NA
SPO3768,0.205,0.189,0.227,0.01,0.184,0.243,0,0.398,0.372,0.42,0.012,0.355,0.428,0,0.334,0.25,0.391,0.036,0.208,0.409,0,0.361,0.325,0.407,0.02,0.309,0.431,0,gltB,"glutamate synthase, large subunit",SPO_RS19125,0,0.924,0.678,0.787,yes,NA,yes,Crossfeeding,Nitrogen,Glutamate,Anabolic,COG0069,AA,glutamate synthase (NADPH) large subunit (EC 1.4.1.13)
SPO3769,0.181,0.118,0.241,0.031,0.089,0.275,0,0.559,0.517,0.605,0.022,0.494,0.638,0,0.356,0.268,0.444,0.045,0.233,0.483,0,0.385,0.198,0.529,0.084,0.108,0.59,0,SPO3769,hypothetical protein,SPO_RS19130,0,1.575,0.938,1.048,yes,NA,NA,Hypothetical,,,NA,NA,NA,NA
SPO3770,0.158,0.114,0.202,0.022,0.096,0.217,0,0.473,0.43,0.51,0.021,0.396,0.529,0,0.342,0.258,0.421,0.042,0.209,0.438,0,0.479,0.457,0.501,0.011,0.442,0.517,0,gltD,"glutamate synthase, small subunit",SPO_RS19135,0,1.524,1.067,1.541,yes,NA,yes,Crossfeeding,Nitrogen,Glutamate,Anabolic,COG0493,AA,glutamate synthase (NADPH) small subunit (EC 1.4.1.13)
SPO3810,0.046,0,0.118,0.032,0,0.166,0,0.351,0.307,0.399,0.024,0.294,0.434,0,0.303,0.25,0.361,0.028,0.221,0.402,0,0.33,0.161,0.508,0.092,0.114,0.605,0,gpmI,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",SPO_RS19335,0,2.689,2.483,2.602,yes,yes,NA,Altered environment,Metabolism,Glycolysis/Gluconeogenesis,Amphibolic,COG0696,Carbon,phosphoglycerate mutase (EC 5.4.2.1)
SPO3812,0.718,0.668,0.763,0.024,0.634,0.792,0,0.881,0.842,0.922,0.021,0.822,0.955,0,0.862,0.837,0.888,0.013,0.818,0.916,0,0.872,0.85,0.896,0.012,0.835,0.918,0,SPO3812,carboxyl-terminal protease family protein,SPO_RS19345,0,0.291,0.26,0.277,yes,yes,yes,NA,,,NA,NA,NA,NA
SPO3855,0.544,0.524,0.56,0.009,0.507,0.569,0,0.715,0.659,0.787,0.034,0.635,0.833,0,0.644,0.593,0.694,0.026,0.566,0.71,0,0.778,0.722,0.828,0.027,0.683,0.849,0,gpsA,glycerol-3-phosphate dehydrogenase (NAD(P)+),SPO_RS19565,0,0.388,0.239,0.508,yes,NA,yes,NA,,,Anabolic,COG0240,Energy,glycerol-3-phosphate dehydrogenase (NAD(P)+)
SPO3865,0.548,0.46,0.623,0.042,0.391,0.649,0,0.835,0.781,0.892,0.029,0.744,0.937,0,0.829,0.782,0.876,0.024,0.746,0.914,0,0.822,0.734,0.912,0.046,0.683,0.96,0,regA,photosynthetic apparatus regulatory protein RegA,SPO_RS19615,0,0.599,0.588,0.576,yes,yes,yes,Regulation/Signaling,,,NA,NA,NA,NA
SPOA0073,0.507,0.255,0.695,0.113,0.111,0.758,0,0.941,0.855,1.022,0.044,0.799,1.092,0,0.856,0.782,0.921,0.036,0.715,0.96,0,0.848,0.756,0.937,0.046,0.693,0.996,0,arsC-2,arsenate reductase,SPO_RS20140,0,0.879,0.744,0.731,yes,NA,NA,Central Metabolism,Inorganic reduction,Arsenate,NA,NA,NA,NA
SPOA0088,1.104,1.085,1.119,0.009,1.071,1.124,0,0.98,0.974,0.987,0.003,0.969,0.991,0,0.994,0.987,1.002,0.004,0.982,1.01,0,0.986,0.976,0.995,0.005,0.973,1.001,0,SPOA0088,hypothetical protein,SPO_RS22660,0,-0.17,-0.15,-0.162,yes,yes,yes,Hypothetical,,,NA,NA,NA,NA
SPOA0109,0,0,0,0,0,0,3247,0.948,0.392,1.153,0.186,0.392,1.153,937,0.54,0,0.974,0.328,0,0.974,1518,0.338,0,0.904,0.356,0,0.904,2252,SPOA0109,hypothetical protein,SPO_RS20375,1988.5,6.582,5.781,5.121,yes,NA,NA,Hypothetical,,,NA,COG0824,lipids,4-hydroxybenzoyl-CoA thioesterase/acyl-CoA thioester hydrolase
SPOA0170,1.041,1.025,1.06,0.009,1.019,1.077,0,0.967,0.951,0.982,0.008,0.94,0.995,0,0.998,0.959,1.037,0.02,0.946,1.05,0,0.96,0.947,0.974,0.007,0.94,0.987,0,SPOA0170,MarR family transcriptional regulator,SPO_RS20690,0,-0.105,-0.06,-0.116,yes,NA,yes,Regulation/Signaling,,,NA,NA,NA,NA
SPOA0236,1.13,1.083,1.177,0.024,1.047,1.212,0,0.952,0.915,0.992,0.02,0.893,1.021,0,0.957,0.923,0.986,0.016,0.901,1.001,0,0.983,0.942,1.026,0.022,0.913,1.048,0,dctB,C4-dicarboxylate transport sensor protein dctB,SPO_RS21015,0,-0.245,-0.237,-0.199,yes,yes,NA,Competition,"Transporter, secondary",Organic acid,NA,NA,NA,NA
