"","spo","gene","funct","NCBI"
"117","SPO0947","kdsA","3-deoxy-8-phosphooctulonate synthase","SPO_RS04755"
"118","SPO0956","SPO0956","hypothetical protein","SPO_RS04800"
"119","SPO0961","SPO0961","hypothetical protein","SPO_RS04825"
"120","SPO0963","argF","ornithine carbamoyltransferase","SPO_RS04835"
"121","SPO0979","SPO0979","low molecular weight phosphotyrosine protein phosphatase","SPO_RS04920"
"122","SPO0994","soxY","sulfur oxidation Y protein","SPO_RS05005"
"123","SPO1010","accC","acetyl-CoA carboxylase, biotin carboxylase","SPO_RS05085"
"124","SPO1011","accB","acetyl-CoA carboxylase, biotin carboxyl carrier protein","SPO_RS05090"
"125","SPO1023","SPO1023","response regulator","SPO_RS05150"
"126","SPO1049","SPO1049","DNA methylase, C-5 cytosine-specific family","SPO_RS22430"
"127","SPO1096","SPO1096","lipoprotein, putative",""
"128","SPO1099","SPO1099","hypothetical protein",""
"129","SPO1100","SPO1100","lipoprotein, putative","SPO_RS05580"
"130","SPO1105","SPO1105","methylmalonyl-CoA mutase","SPO_RS05605"
"131","SPO1118","SPO1118","hypothetical protein","SPO_RS05675"
"132","SPO1121","proS","prolyl-tRNA synthetase","SPO_RS05690"
"133","SPO1123","lolE","lipoprotein releasing system transmembrane protein LolE","SPO_RS05700"
"134","SPO1124","lolD","lipoprotein releasing system ATP-binding protein","SPO_RS05705"
"135","SPO1156","hisF","imidazole glycerol phosphate synthase, cyclase subunit","SPO_RS05860"
"136","SPO1157","SPO1157","hypothetical protein","SPO_RS05865"
"137","SPO1158","hisA","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase","SPO_RS05870"
"138","SPO1162","hisH","imidazole glycerol phosphate synthase, glutamine amidotransferase subunit","SPO_RS05890"
"139","SPO1163","hisB","imidazoleglycerol-phosphate dehydratase","SPO_RS05895"
"140","SPO1177","SPO1177","hypothetical protein","SPO_RS05965"
"141","SPO1178","mraZ","Transcriptional regulator MraZ","SPO_RS05970"
"142","SPO1179","mraW","S-adenosyl-methyltransferase MraW","SPO_RS05975"
"143","SPO1180","SPO1180","hypothetical protein","SPO_RS05980"
"144","SPO1182","murE","UDP-N-acetylmuramoylalanyl-D-glutamate-2, 6-diaminopimelate ligase","SPO_RS05990"
"145","SPO1183","murF","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase","SPO_RS05995"
"146","SPO1184","mraY","phospho-N-acetylmuramoyl-pentapeptide- transferase","SPO_RS06000"
"147","SPO1187","murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase","SPO_RS06015"
"148","SPO1193","SPO1193","4-oxalocrotonate tautomerase family protein","SPO_RS06045"
"149","SPO1194","SPO1194","cell division protein FtsW","SPO_RS06050"
"150","SPO1195","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)","SPO_RS06055"
"151","SPO1196","murC","UDP-N-acetylmuramate--alanine ligase","SPO_RS06060"
"152","SPO1198","SPO1198","hypothetical protein","SPO_RS06075"
"153","SPO1200","murB","UDP-N-acetylenolpyruvoylglucosamine reductase","SPO_RS06090"
"154","SPO1201","ddlB","D-alanine--D-alanine ligase","SPO_RS06095"
"155","SPO1202","SPO1202","cell division protein ftsQ","SPO_RS06100"
"156","SPO1203","ftsA","cell division protein FtsA","SPO_RS06105"
"157","SPO1205","lpxC","UDP-3-0-acyl N-acetylglucosamine deacetylase","SPO_RS06115"
"158","SPO1239","pcm-1","protein-L-isoaspartate O-methyltransferase","SPO_RS06310"
"159","SPO1242","cobQ","cobyric acid synthase CobQ","SPO_RS06325"
"160","SPO1252","SPO1252","hypothetical protein",""
"161","SPO1253","parE","DNA topoisomerase IV, B subunit","SPO_RS06385"
"162","SPO1258","SPO1258","hydrolase, alpha/beta fold family","SPO_RS06410"
"163","SPO1266","SPO1266","TPR repeat family protein","SPO_RS06450"
"164","SPO1269","SPO1269","hypothetical protein","SPO_RS06465"
"165","SPO1273","thyX","thymidylate synthase, flavin-dependent","SPO_RS06485"
"166","SPO1281","SPO1281","hypothetical protein","SPO_RS06525"
"167","SPO1282","thrS","threonyl-tRNA synthetase","SPO_RS06530"
"168","SPO1283","SPO1283","hypothetical protein","SPO_RS06535"
"169","SPO1313","secG","preprotein translocase, SecG subunit","SPO_RS06695"
"170","SPO1317","SPO1317","hypothetical protein","SPO_RS06715"
"171","SPO1326","SPO1326","transcriptional regulator, MarR family","SPO_RS06760"
"172","SPO1336","ispZ","intracellular septation protein A","SPO_RS06810"
"173","SPO1341","SPO1341","alkane-1 monooxygenase, putative","SPO_RS06835"
"174","SPO1348","SPO1348","iron-sulfur cluster-binding protein","SPO_RS06870"
"175","SPO1350","SPO1350","hypothetical protein",""
"176","SPO1352","folE2","GTP cyclohydrolase FolE2 (EC 3.5.4.16)","SPO_RS06885"
"177","SPO1353","trkH-1","Trk system potassium uptake protein TrkH","SPO_RS06895"
"178","SPO1355","glyQ","glycyl-tRNA synthetase, alpha subunit","SPO_RS06905"
"179","SPO1362","SPO1362","dihydroneopterin aldolase, putative","SPO_RS06945"
"180","SPO1363","folP","dihydropteroate synthase",""
"181","SPO1364","glmM","phosphoglucosamine mutase","SPO_RS06955"
"182","SPO1371","SPO1371","2-octaprenyl-6-methoxyphenol hydroxylase, putative","SPO_RS06995"
"183","SPO1377","carA","carbamoyl-phosphate synthase, small subunit","SPO_RS07025"
"184","SPO1378","SPO1378","GatB/YqeY domain protein","SPO_RS07030"
"185","SPO1386","SPO1386","HIT family protein","SPO_RS07075"
"186","SPO1389","lipB","lipoate-protein ligase B","SPO_RS07090"
"187","SPO1402","SPO1402","hypothetical protein","SPO_RS07155"
"188","SPO1403","metG","methionyl-tRNA synthetase","SPO_RS07160"
"189","SPO1418","SPO1418","S4 domain protein","SPO_RS07235"
"190","SPO1419","SPO1419","iron-sulfur cluster-binding protein","SPO_RS07240"
"191","SPO1420","SPO1420","transcriptional regulator, CarD family","SPO_RS07245"
"192","SPO1422","SPO1422","cobalamin 5'-phosphate synthase","SPO_RS07255"
"193","SPO1423","cobT","Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21)","SPO_RS07260"
"194","SPO1434","SPO1434","transcriptional regulator, AraC family","SPO_RS07310"
"195","SPO1455","SPO1455","TRAP dicarboxylate transporter, DctQ subunit, putative","SPO_RS07415"
"196","SPO1458","SPO1458","transcriptional regulator, MarR family","SPO_RS07430"
"197","SPO1467","SPO1467","3-hydroxyacyl-CoA dehydrogenase family protein","SPO_RS07475"
"198","SPO1487","SPO1487","hypothetical protein","SPO_RS07575"
"199","SPO1500","pqqE","coenzyme PQQ synthesis protein E","SPO_RS07640"
"200","SPO1504","pqqA","coenzyme PQQ biosynthesis protein A","SPO_RS22465"
"201","SPO1509","SPO1509","cytochrome c family protein","SPO_RS07680"
"202","SPO1511","SPO1511","efflux ABC transporter, ATP-binding protein","SPO_RS07690"
"203","SPO1512","SPO1512","hypothetical protein","SPO_RS07695"
"204","SPO1523","SPO1523","metallo-beta-lactamase family protein","SPO_RS07750"
"205","SPO1528","SPO1528","hypothetical protein","SPO_RS07775"
"206","SPO1537","SPO1537","twin-arginine translocation pathway signal sequence domain protein, putative","SPO_RS07825"
"207","SPO1577","SPO1577","hypothetical protein","SPO_RS08025"
"208","SPO1583","SPO1583","DNA-binding protein, putative","SPO_RS08055"
"209","SPO1618","SPO1618","hypothetical protein","SPO_RS08230"
"210","SPO1619","SPO1619","hypothetical protein","SPO_RS08235"
"211","SPO1631","SPO1631","CBS domain protein","SPO_RS08295"
"212","SPO1632","xerD","tyrosine recombinase XerD","SPO_RS08300"
"213","SPO1634","aroK","shikimate kinase","SPO_RS08310"
"214","SPO1635","aroB","3-dehydroquinate synthase","SPO_RS08315"
"215","SPO1637","ssb","single-strand binding protein","SPO_RS08325"
"216","SPO1645","SPO1645","oligopeptide/dipeptide ABC transporter, permease protein","SPO_RS08365"
"217","SPO1650","SPO1650","hypothetical protein",""
"218","SPO1653","SPO1653","transposase, degenerate","SPO_RS22475"
"219","SPO1661","miaA","tRNA delta(2)-isopentenylpyrophosphate transferase","SPO_RS08440"
"220","SPO1662","pyrH","uridylate kinase","SPO_RS08445"
"221","SPO1664","frr","ribosome recycling factor","SPO_RS08455"
"222","SPO1665","uppS","undecaprenyl diphosphate synthase","SPO_RS08460"
"223","SPO1666","cdsA","phosphatidate cytidylyltransferase","SPO_RS08465"
"224","SPO1667","dxr","1-deoxy-D-xylulose 5-phosphate reductoisomerase","SPO_RS08470"
"225","SPO1669","SPO1669","hypothetical protein",""
"226","SPO1670","SPO1670","outer membrane protein, OMP85 family","SPO_RS08480"
"227","SPO1671","SPO1671","hypothetical protein","SPO_RS08485"
"228","SPO1672","fabZ","beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ","SPO_RS08490"
"229","SPO1673","lpxA","acyl-(acyl-carrier-protein)--UDP-N- acetylglucosamine O-acyltransferase","SPO_RS08495"
"230","SPO1674","SPO1674","hypothetical protein","SPO_RS08500"
"231","SPO1675","lpxB","lipid-A-disaccharide synthase","SPO_RS08505"
"232","SPO1680","ligA","DNA ligase, NAD-dependent","SPO_RS08530"
"233","SPO1684","hisI","phosphoribosyl-AMP cyclohydrolase","SPO_RS08545"
"234","SPO1691","rplM","ribosomal protein L13","SPO_RS08580"
"235","SPO1692","rspI","ribosomal protein S9","SPO_RS08585"
"236","SPO1706","SPO1706","transposase, degenerate","SPO_RS22485"
"237","SPO1712","ureA","urease, gamma subunit","SPO_RS08710"
"238","SPO1732","recJ","single-stranded-DNA-specific exonuclease RecJ","SPO_RS08815"
"239","SPO1733","glpX","fructose-1,6-bisphosphatase, class II","SPO_RS08820"
"240","SPO1739","SPO1739","hypothetical protein","SPO_RS08850"
"241","SPO1749","dnaG","DNA primase","SPO_RS08900"
"242","SPO1750","rpoD","RNA polymerase sigma-70 factor RpoD","SPO_RS08905"
"243","SPO1753","nrdR","Transcriptional repressor NrdR","SPO_RS08920"
"244","SPO1754","ribD","riboflavin biosynthesis protein RibD","SPO_RS08925"
"245","SPO1758","SPO1758","hypothetical protein",""
"246","SPO1759","ribE","riboflavin synthase, alpha subunit","SPO_RS08945"
"247","SPO1760","SPO1760","hypothetical protein","SPO_RS08950"
"248","SPO1778","SPO1778","hypothetical protein","SPO_RS09045"
"249","SPO1797","SPO1797","twin-arginine translocation pathway signal sequence domain protein","SPO_RS09140"
"250","SPO1802","SPO1802","hypothetical protein","SPO_RS09170"
"251","SPO1803","SPO1803","Mrp/NBP35 family protein","SPO_RS09175"
"252","SPO1805","SPO1805","hypothetical protein","SPO_RS09185"
"253","SPO1811","SPO1811","hypothetical protein","SPO_RS09215"
"254","SPO1821","SPO1821","sugar ABC transporter, permease protein",""
"255","SPO1824","SPO1824","transcriptional regulator, LysR family","SPO_RS09280"
"256","SPO1827","SPO1827","N-formylglutamate amidohydrolase","SPO_RS09295"
"257","SPO1864","SPO1864","hypothetical protein","SPO_RS09475"
"258","SPO1867","SPO1867","hypothetical protein","SPO_RS09490"
"259","SPO1872","SPO1872","transcriptional regulator, LysR family","SPO_RS09515"
"260","SPO1877","ccmE","cytochrome c-type biogenesis protein CcmE","SPO_RS09540"
"261","SPO1880","ccmF","cytochrome c-type biogenesis protein CcmF","SPO_RS09555"
"262","SPO1881","SPO1881","cytochrome c biogenesis family protein","SPO_RS09560"
"263","SPO1892","dctD-1","C4-dicarboxylate transport transcriptional regulatory protein DctD","SPO_RS09615"
"264","SPO1895","SPO1895","SirA family protein","SPO_RS09625"
"265","SPO1896","ccdA","cytochrome c-type biogenesis protein CcdA","SPO_RS09630"
"266","SPO1899","fda","fructose-bisphosphate aldolase, class I","SPO_RS09645"
"267","SPO1904","SPO1904","hypothetical protein","SPO_RS09670"
"268","SPO1930","lpxD","UDP-3-O-3-hydroxymyristoyl glucosamine N-acyltransferase","SPO_RS09800"
"269","SPO1942","SPO1942","3-deoxy-7-phosphoheptulonate synthase","SPO_RS09860"
"270","SPO1945","gmk","guanylate kinase","SPO_RS09875"
"271","SPO1965","SPO1965","oxidoreductase, short chain dehydrogenase/reductase family","SPO_RS09975"
"272","SPO1968","SPO1968","acyl-CoA dehydrogenase family protein","SPO_RS09990"
"273","SPO1976","rpsB","ribosomal protein S2","SPO_RS10030"
"274","SPO1979","olsA","lyso-ornithine lipid acyltransferase","SPO_RS10045"
"275","SPO1980","olsB","ornithine-acyl[acyl carrier protein] N-acyltransferase","SPO_RS10050"
"276","SPO1981","SPO1981","hypothetical protein",""
"277","SPO1989","rpmA","ribosomal protein L27","SPO_RS10090"
"278","SPO1990","rplU","ribosomal protein L21","SPO_RS10095"
"279","SPO2014","sufS","cysteine desulfurase SufS","SPO_RS10220"
"280","SPO2017","SPO2017","FeS assembly protein SufD","SPO_RS10235"
"281","SPO2018","sufC","FeS assembly ATPase SufC","SPO_RS10240"
"282","SPO2019","SPO2019","exoV domain protein","SPO_RS10245"
"283","SPO2020","SPO2020","methyltransferase, FkbM family","SPO_RS10250"
"284","SPO2022","SPO2022","hypothetical protein","SPO_RS10260"
"285","SPO2026","SPO2026","hypothetical protein","SPO_RS10280"
"286","SPO2027","SPO2027","hypothetical protein","SPO_RS10285"
"287","SPO2033","alaS","alanyl-tRNA synthetase","SPO_RS10315"
"288","SPO2051","gyrA","DNA gyrase, A subunit","SPO_RS10405"
"289","SPO2054","ctaA","Heme A synthase (EC 1.3.-.-) (Cytochrome aa3-controlling protein)","SPO_RS10420"
"290","SPO2056","SPO2056","thiamine-phosphate pyrophosphorylase, putative","SPO_RS10430"
"291","SPO2076","hemB","porphobilinogen synthase","SPO_RS10530"
"292","SPO2078","SPO2078","penicillin amidase family protein","SPO_RS10540"
"293","SPO2083","trkA","Trk system potassium uptake protein TrkA","SPO_RS10565"
"294","SPO2085","ntrX","nitrogen assimilation regulatory protein NtrX","SPO_RS10575"
"295","SPO2090","ispDF","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/ 2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","SPO_RS10600"
"296","SPO2096","SPO2096","aromatic-rich family protein","SPO_RS10630"
"297","SPO2102","lipA","lipoic acid synthetase","SPO_RS10660"
"298","SPO2109","guaA","GMP synthase","SPO_RS10695"
"299","SPO2113","SPO2113","hypothetical protein","SPO_RS10715"
"300","SPO2126","SPO2126","phospholipase/carboxylesterase family protein","SPO_RS10780"
"301","SPO2131","cysS","cysteinyl-tRNA synthetase","SPO_RS10805"
"302","SPO2141","pdxH","Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)","SPO_RS10855"
"303","SPO2154","lexA","LexA repressor","SPO_RS10920"
"304","SPO2156","gltX-2","glutamyl-tRNA synthetase","SPO_RS10930"
"305","SPO2162","SPO2162","B12 reduction/reactivation protein","SPO_RS10960"
"306","SPO2165","SPO2165","Fe-S metabolism associated family protein","SPO_RS10975"
"307","SPO2179","SPO2179","hypothetical protein","SPO_RS11045"
"308","SPO2181","SPO2181","ABC transporter, ATP-binding protein","SPO_RS11055"
"309","SPO2199","SPO2199","hypothetical protein",""
"310","SPO2200","coaD","pantetheine-phosphate adenylyltransferase","SPO_RS11155"
"311","SPO2216","SPO2216","DNA-binding protein, putative","SPO_RS11240"
"312","SPO2217","SPO2217","Excinuclease","SPO_RS11245"
"313","SPO2236","SPO2236","hypothetical protein","SPO_RS23095"
"314","SPO2239","SPO2239","hypothetical protein","SPO_RS11350"
"315","SPO2247","cysE","serine O-acetyltransferase","SPO_RS11400"
"316","SPO2256","orfg10","gene transfer agent","SPO_RS11445"
"317","SPO2258","orfg8","gene transfer agent","SPO_RS11455"
"318","SPO2259","orfg7","gene transfer agent","SPO_RS11460"
"319","SPO2262","orfg4","gene transfer agent","SPO_RS11475"
"320","SPO2263","SPO2263","hypothetical protein","SPO_RS11480"
"321","SPO2271","fabF","3-oxoacyl-(acyl carrier protein) synthase II","SPO_RS11515"
"322","SPO2274","acpP","acyl carrier protein","SPO_RS11530"
"323","SPO2275","fabG","3-oxoacyl-(acyl-carrier-protein) reductase","SPO_RS11535"
"324","SPO2276","fabD","malonyl CoA-acyl carrier protein transacylase","SPO_RS11540"
"325","SPO2281","rpsF","ribosomal protein S6","SPO_RS11565"
"326","SPO2282","rpsR","ribosomal protein S18","SPO_RS11570"
"327","SPO2294","glnB-1","nitrogen regulatory protein P-II","SPO_RS11630"
"328","SPO2295","glnA","glutamine synthetase, type I","SPO_RS11635"
"329","SPO2300","SPO2300","hypothetical protein","SPO_RS11660"
"330","SPO2305","purB","adenylosuccinate lyase","SPO_RS11685"
"331","SPO2312","acnA","aconitate hydratase 1","SPO_RS11715"
"332","SPO2314","SPO2314","periplasmic protein thiol:disulfide oxidoreductases, DsbE subfamily","SPO_RS11725"
"333","SPO2315","ccmC","heme exporter protein CcmC","SPO_RS11735"
"334","SPO2316","ccmB","heme exporter protein CcmB","SPO_RS11740"
"335","SPO2317","ccmA","heme exporter protein CcmA","SPO_RS11745"
"336","SPO2320","secF","protein-export membrane protein SecF","SPO_RS11760"
"337","SPO2321","secD","protein-export membrane protein SecD","SPO_RS11765"
"338","SPO2322","yajC","preprotein translocase, YajC subunit",""
"339","SPO2325","serS","seryl-tRNA synthetase","SPO_RS11785"
"340","SPO2328","engA","GTP-binding protein EngA","SPO_RS11800"
"341","SPO2329","SPO2329","PQQ enzyme repeat family protein","SPO_RS11805"
"342","SPO2362","SPO2362","amino acid ABC transporter, periplasmic amino acid-binding protein","SPO_RS11985"
"343","SPO2376","SPO2376","CoA-binding domain protein","SPO_RS12055"
"344","SPO2402","SPO2402","transposase, degenerate","SPO_RS22550"
"345","SPO2415","SPO2415","phytanoyl-CoA dioxygenase family protein","SPO_RS12270"
"346","SPO2417","idnO","gluconate 5-dehydrogenase","SPO_RS12280"
"347","SPO2421","SPO2421","hypothetical protein","SPO_RS12300"
"348","SPO2427","SPO2427","oxidoreductase, short chain dehydrogenase/reductase family","SPO_RS12330"
"349","SPO2444","ndk","nucleoside diphosphate kinase","SPO_RS12415"
"350","SPO2454","SPO2454","permease, YjgP/YjgQ family","SPO_RS12465"
"351","SPO2455","SPO2455","organic solvent tolerance protein, putative","SPO_RS12470"
"352","SPO2456","SPO2456","PPIC-type PPIASE domain protein","SPO_RS12475"
"353","SPO2457","pdxA-1","4-hydroxythreonine-4-phosphate dehydrogenase","SPO_RS12480"
"354","SPO2459","SPO2459","hypothetical protein","SPO_RS12490"
"355","SPO2461","prfA","peptide chain release factor 1","SPO_RS12500"
