"spo","pval_vib","gene","funct","NCBI","padj_vib","sig_vib","Vib_fold_diff","Mari_fold_diff","CC_fold_diff","pval_mari","padj_mari","sig_mari","pval_cc","padj_cc","sig_cc","meanW_rpomAlone","semW_rpomAlone","meanW_vib","semW_vib","meanW_mari","semW_mari","meanW_CC","semW_CC"
"SPO1383",0,"ctaD","cytochrome c oxidase, aa3-type, subunit I","SPO_RS07060",0,"yes",0.43,0.33,0.53,NA,NA,NA,NA,NA,NA,0.62,0.02,0.84,0.02,0.78,0.03,0.9,0.01
"SPO1427",0,"SPO1427","hypothetical protein","SPO_RS07280",0,"yes",-0.11,-0.083,-0.11,NA,NA,NA,0,0,"yes",1.06,0.05,0.98,0.03,1,0.02,0.98,0.03
"SPO1443",0,"rhlE","ATP-dependent RNA helicase RhlE","SPO_RS07355",0,"yes",0.44,0.36,0.42,0,0,"yes",0,0,"yes",0.7,0.03,0.95,0.04,0.9,0.02,0.94,0.04
"SPO1481",0,"cfa","cyclopropane fatty acyl phospholipid synthase","SPO_RS07545",0,"yes",0.89,0.92,0.82,NA,NA,NA,NA,NA,NA,0.45,0.17,0.84,0.03,0.86,0.1,0.8,0.07
"SPO1519",0,"coxL-1","carbon monoxide dehydrogenase, large subunit","SPO_RS07730",0,"yes",-0.17,-0.097,-0.23,NA,NA,NA,0,0,"yes",1.07,0.02,0.95,0.01,1,0.03,0.91,0.03
"SPO1594",0,"SPO1594","mandelate racemase/muconate lactonizing enzyme, putative","SPO_RS08110",0,"yes",-0.25,-0.17,-0.18,0,0,"yes",NA,NA,NA,1.26,0.06,1.06,0.09,1.12,0.08,1.11,0.09
"SPO1651",0,"SPO1651","hypothetical protein","SPO_RS08390",0,"yes",-0.41,-0.12,-0.25,NA,NA,NA,NA,NA,NA,1,0.02,0.75,0.09,0.92,0.03,0.84,0.08
"SPO1690",0,"SPO1690","transcriptional regulator, GntR family","SPO_RS08575",0,"yes",-0.15,-0.026,-0.11,NA,NA,NA,0,0,"yes",1.1,0.02,0.99,0.02,1.08,0.02,1.02,0.03
"SPO1746",0,"SPO1746","sarcosine oxidase, alpha subunit family","SPO_RS08885",0,"yes",-0.15,-0.058,-0.1,NA,NA,NA,NA,NA,NA,1,0.01,0.9,0.04,0.96,0.03,0.93,0.03
"SPO1794",0,"SPO1794","formate dehydrogenase, gamma subunit","SPO_RS09125",0,"yes",-0.23,-0.37,-0.33,0,0,"yes",0,0,"yes",1.13,0.05,0.96,0.06,0.87,0.07,0.9,0.12
"SPO1814",0,"SPO1814","TRAP dicarboxylate transporter, DctP subunit, putative","SPO_RS09230",0,"yes",-0.21,-0.2,-0.18,0,0,"yes",0,0,"yes",1.16,0.03,1,0.04,1.01,0,1.02,0.01
"SPO1862",0,"SPO1862","metFprotein-like protein","SPO_RS09465",0,"yes",0.23,0.046,0.11,NA,NA,NA,NA,NA,NA,0.91,0.03,1.07,0.03,0.94,0.06,0.98,0.04
"SPO1898",0,"SPO1898","cytochrome P450 family protein","SPO_RS09640",0,"yes",-0.14,-0.064,-0.14,NA,NA,NA,NA,NA,NA,1.15,0.05,1.04,0.05,1.1,0.05,1.04,0.05
"SPO1973",0,"aroQ","3-dehydroquinate dehydratase, type II","SPO_RS10015",0,"yes",3.9,0,0,NA,NA,NA,NA,NA,NA,0,0,0.14,0.14,0,0,0,0
"SPO1978",0,"SPO1978","hypothetical protein","SPO_RS10040",0,"yes",-0.3,-0.13,-0.12,NA,NA,NA,NA,NA,NA,1.01,0.01,0.82,0.05,0.92,0.08,0.93,0.03
"SPO2081",0,"hfq","RNA-binding protein Hfq","SPO_RS10555",0,"yes",0.39,0.3,0.16,NA,NA,NA,NA,NA,NA,0.67,0.04,0.88,0.04,0.83,0.05,0.75,0.04
"SPO2086",0,"ntrY","nitrogen regulation protein ntrY","SPO_RS10580",0,"yes",0.26,-0.058,0.092,NA,NA,NA,NA,NA,NA,0.75,0.04,0.9,0.04,0.72,0.04,0.8,0.06
"SPO2099",0,"cycF","cytochrome c-554","SPO_RS10645",0,"yes",-0.15,-0.097,-0.097,NA,NA,NA,NA,NA,NA,1.07,0.01,0.96,0.07,1,0.01,1,0.03
"SPO2133",0,"SPO2133","outer membrane protein, putative","SPO_RS10815",0,"yes",-0.18,-0.087,-0.19,NA,NA,NA,0,0,"yes",1.18,0.04,1.04,0.03,1.11,0.03,1.03,0.05
"SPO2144",0,"SPO2144","aminotransferase, classes I and II","SPO_RS10870",0,"yes",-0.14,-0.082,-0.14,NA,NA,NA,0,0,"yes",1.07,0.05,0.97,0.01,1.01,0.03,0.97,0.02
"SPO2150",0,"trpD","anthranilate phosphoribosyltransferase","SPO_RS10900",0,"yes",3.6,0,2.3,NA,NA,NA,0,0,"yes",0,0,0.11,0.11,0,0,0.04,0.04
"SPO2151",0,"trpC","indole-3-glycerol phosphate synthase","SPO_RS10905",0,"yes",4.4,0,4.1,NA,NA,NA,NA,NA,NA,0,0,0.2,0.2,0,0,0.16,0.16
"SPO2168",0,"purN","phosphoribosylglycinamide formyltransferase","SPO_RS10990",0,"yes",1.6,0.35,1.2,NA,NA,NA,NA,NA,NA,0.21,0.12,0.64,0.04,0.27,0.16,0.49,0.11
"SPO2189",0,"SPO2189","transcriptional regulator, AsnC family","SPO_RS11095",0,"yes",0.11,0.031,0.046,NA,NA,NA,NA,NA,NA,0.91,0.03,0.98,0.01,0.93,0.04,0.94,0.05
"SPO2197",0,"SPO2197","hypothetical protein","SPO_RS11140",0,"yes",-0.13,-0.11,-0.14,NA,NA,NA,0,0,"yes",1.06,0.04,0.97,0.03,0.98,0.04,0.96,0.04
"SPO2251",0,"orfg14","gene transfer agent","SPO_RS11420",0,"yes",-0.84,-0.086,-0.034,NA,NA,NA,NA,NA,NA,0.85,0.04,0.47,0.16,0.8,0.06,0.83,0.28
"SPO2340",0,"sodB","superoxide dismutase, Fe","SPO_RS11860",0,"yes",1.7,1.5,2.1,NA,NA,NA,0,0,"yes",0.16,0.11,0.55,0.03,0.46,0.08,0.73,0.05
"SPO2347",0,"SPO2347","hypothetical protein","SPO_RS11910",0,"yes",-0.16,-0.12,-0.064,NA,NA,NA,NA,NA,NA,1.15,0.02,1.03,0.05,1.06,0.04,1.1,0.05
"SPO2412",0,"SPO2412","aldolase, putative","SPO_RS12255",0,"yes",-0.84,-0.15,-0.95,NA,NA,NA,0,0,"yes",1.19,0.13,0.66,0.33,1.07,0.14,0.61,0.31
"SPO2511",0,"SPO2511","dnaK suppressor protein, putative","SPO_RS12750",0,"yes",2.6,1.6,-3.3,NA,NA,NA,0,0,"yes",0.09,0.09,0.61,0.07,0.3,0.2,0,0
"SPO2608",0,"SPO2608","aldehyde dehydrogenase, putative","SPO_RS13230",0,"yes",-0.23,-0.029,-0.044,NA,NA,NA,NA,NA,NA,0.99,0.03,0.84,0.05,0.97,0.03,0.96,0.02
"SPO2626",0,"SPO2626","TRAP transporter, DctM subunit","SPO_RS13320",0,"yes",-0.13,-0.091,-0.12,NA,NA,NA,0,0,"yes",1.13,0.03,1.03,0.05,1.06,0.03,1.04,0.03
"SPO2627",0,"SPO2627","TRAP transporter, DctQ subunit","SPO_RS13325",0,"yes",-0.17,-0.11,-0.65,NA,NA,NA,0,0,"yes",1.06,0.05,0.94,0.06,0.98,0.05,0.67,0.23
"SPO2630",0,"SPO2630","C4-dicarboxylate transport sensor protein","SPO_RS13340",0,"yes",-0.25,-0.15,-0.15,NA,NA,NA,NA,NA,NA,1.19,0.03,1,0.02,1.07,0.05,1.07,0.02
"SPO2634",0,"SPO2634","sulfite reductase, putative","SPO_RS13360",0,"yes",4.8,0,5.9,NA,NA,NA,NA,NA,NA,0,0,0.27,0.16,0,0,0.59,0.09
"SPO2653",0,"pyrC","Dihydroorotase (EC 3.5.2.3)","SPO_RS13460",0,"yes",-4.1,-0.5,1,NA,NA,NA,NA,NA,NA,0.16,0.1,0,0,0.11,0.11,0.34,0.22
"SPO2654",0,"pyrE","orotate phosphoribosyltransferase","SPO_RS13465",0,"yes",4.9,4.1,6.2,NA,NA,NA,NA,NA,NA,0,0,0.28,0.16,0.16,0.1,0.74,0.04
"SPO2662",0,"SPO2662","aspartate racemase, putative","SPO_RS13505",0,"yes",0.26,0.14,-0.054,NA,NA,NA,NA,NA,NA,0.8,0.04,0.96,0.03,0.88,0.05,0.77,0.14
"SPO2677",0,"purF","amidophosphoribosyltransferase","SPO_RS13580",0,"yes",1.2,0.35,1,NA,NA,NA,NA,NA,NA,0.28,0.09,0.64,0.04,0.36,0.04,0.57,0.1
"SPO2708",0,"SPO2708","carnitine dehydratase","SPO_RS13735",0,"yes",-0.16,-0.098,-0.14,NA,NA,NA,NA,NA,NA,1.06,0.05,0.95,0.05,0.99,0.06,0.96,0.08
"SPO2815",0,"SPO2815","peptide/nickel/opine uptake family ABC transporter, permease protein","SPO_RS14300",0,"yes",-0.12,-0.04,-0.096,NA,NA,NA,NA,NA,NA,1.08,0.01,0.99,0.02,1.05,0.02,1.01,0.04
"SPO2816",0,"SPO2816","peptide/nickel/opine uptake family ABC transporter, permease protein","SPO_RS14305",0,"yes",-0.14,-0.081,-0.067,NA,NA,NA,NA,NA,NA,1.09,0.05,0.99,0.02,1.03,0.02,1.04,0.03
"SPO2819",0,"pntB","NAD(P)+ transhydrogenase, beta subunit","SPO_RS14320",0,"yes",0.39,0.36,0.45,0,0,"yes",NA,NA,NA,0.76,0.02,1,0.01,0.98,0.03,1.04,0.02
"SPO2821",0,"SPO2821","isoprenylcysteine carboxyl methyltransferase family protein","SPO_RS14330",0,"yes",0.16,0.1,0.13,NA,NA,NA,NA,NA,NA,0.94,0.01,1.05,0.05,1.01,0.01,1.03,0.03
"SPO2894",0,"SPO2894","pH adaption potassium efflux system protein","SPO_RS14685",0,"yes",-3,2.1,1.5,NA,NA,NA,NA,NA,NA,0.07,0.05,0,0,0.33,0.03,0.22,0.13
"SPO2915",0,"SPO2915","acyl-CoA dehydrogenase family protein","SPO_RS14785",0,"yes",0.21,0.22,0.16,NA,NA,NA,0,0,"yes",0.82,0.03,0.95,0.01,0.96,0.01,0.92,0.01
"SPO2949",0,"SPO2949","endoribonuclease L-PSP family protein","SPO_RS14955",0,"yes",-0.38,-0.025,-0.064,NA,NA,NA,NA,NA,NA,1.15,0.05,0.88,0.04,1.13,0.03,1.1,0.06
"SPO2952",0,"SPO2952","trkA domain protein","SPO_RS14970",0,"yes",0.87,0.48,0.93,0,0,"yes",0,0,"yes",0.5,0.05,0.92,0.03,0.7,0.04,0.96,0.04
"SPO2986",0,"SPO2986","tellurite resistance protein","SPO_RS15135",0,"yes",-0.18,-0.15,-0.11,NA,NA,NA,NA,NA,NA,1.17,0.03,1.03,0.04,1.05,0.04,1.08,0.05
"SPO3052",0,"SPO3052","hypothetical protein","SPO_RS15465",0,"yes",-0.24,-0.14,-0.05,0,0,"yes",NA,NA,NA,1.17,0.03,0.99,0.04,1.06,0.03,1.13,0.04
"SPO3073",0,"ctaE","cytochrome c oxidase, subunit III","SPO_RS15570",0,"yes",0.43,0.33,0.43,0,0,"yes",NA,NA,NA,0.62,0.02,0.84,0.02,0.78,0.01,0.84,0.02
"SPO3075",0,"ctaB","Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme O synthase)","SPO_RS15580",0,"yes",0.87,0.68,0.86,0,0,"yes",0,0,"yes",0.47,0.04,0.87,0.01,0.76,0.06,0.86,0.04
"SPO3115",0,"ruvB","Holliday junction DNA helicase RuvB","SPO_RS15785",0,"yes",0.8,0.55,0.75,NA,NA,NA,NA,NA,NA,0.46,0.16,0.81,0.05,0.68,0.09,0.78,0.1
"SPO3479",0,"glcE","glycolate oxidase, GlcE subunit","SPO_RS17620",0,"yes",-0.44,-0.09,-0.17,NA,NA,NA,NA,NA,NA,0.98,0.02,0.72,0.05,0.92,0.02,0.87,0.04
"SPO3561",0,"xsc","sulfoacetaldehyde acetyltransferase","SPO_RS18040",0,"yes",0.93,0.26,0.79,NA,NA,NA,0,0,"yes",0.39,0.05,0.75,0.04,0.47,0.07,0.68,0.02
"SPO3604",0,"SPO3604","D-amino acid aminotransferase, putative","SPO_RS18260",0,"yes",0.19,0.11,0.25,NA,NA,NA,NA,NA,NA,0.85,0.03,0.97,0.01,0.92,0.02,1.01,0.03
"SPO3633",0,"SPO3633","molybdopterin converting factor, subunit 2","SPO_RS18405",0,"yes",0.41,0.21,0.3,NA,NA,NA,0,0,"yes",0.69,0.02,0.92,0.05,0.8,0.04,0.85,0.05
"SPO3661",0,"SPO3661","allophanate hydrolase family protein","SPO_RS18555",0,"yes",-0.24,-0.24,-0.29,0,0,"yes",0,0,"yes",0.92,0.01,0.78,0.03,0.78,0.03,0.75,0.03
"SPO3684",0,"SPO3684","transcriptional regulator, LacI family","SPO_RS18690",0,"yes",0.11,0.016,0.15,NA,NA,NA,0,0,"yes",0.88,0.01,0.95,0.01,0.89,0.01,0.98,0.01
"SPO3768",0,"gltB","glutamate synthase, large subunit","SPO_RS19125",0,"yes",0.9,0.63,0.75,NA,NA,NA,0,0,"yes",0.21,0.01,0.4,0.02,0.33,0.04,0.36,0.02
"SPO3769",0,"SPO3769","hypothetical protein","SPO_RS19130",0,"yes",1.6,0.96,1,NA,NA,NA,NA,NA,NA,0.18,0.03,0.56,0.02,0.36,0.06,0.38,0.1
"SPO3867",0,"regB","sensor histidine kinase RegB","SPO_RS19625",0,"yes",0.19,0.21,0.18,0,0,"yes",0,0,"yes",0.76,0.02,0.87,0.02,0.88,0.02,0.86,0.01
"SPO3873",0,"SPO3873","ATP-dependent DNA helicase, UvrD/Rep family","SPO_RS19655",0,"yes",0.19,0.097,0.27,NA,NA,NA,0,0,"yes",0.71,0.03,0.81,0.03,0.76,0.01,0.86,0.03
"SPOA0002",0,"miaB","(dimethylallyl)adenosine tRNA methylthiotransferase","SPO_RS19790",0,"yes",-0.15,-0.14,-0.15,0,0,"yes",0,0,"yes",1.09,0.03,0.98,0.03,0.99,0.01,0.98,0.04
"SPOA0073",0,"arsC-2","arsenate reductase","SPO_RS20140",0,"yes",0.93,0.8,0.78,0,0,"yes",0,0,"yes",0.49,0.12,0.94,0.05,0.86,0.03,0.85,0.06
"SPOA0088",0,"SPOA0088","hypothetical protein","SPO_RS22660",0,"yes",-0.17,-0.15,-0.17,NA,NA,NA,0,0,"yes",1.1,0.01,0.98,0,0.99,0.01,0.98,0
"SPOA0223",0,"nirF","cytochrome cd1 nitrite reductase","SPO_RS20950",0,"yes",-0.17,-0.098,-0.083,NA,NA,NA,NA,NA,NA,1.06,0.03,0.94,0.02,0.99,0.04,1,0.03
"SPOA0237",0,"dctD-2","C4-dicarboxylate transport transcriptional regulatory protein DctD","SPO_RS21020",0,"yes",-0.27,-0.25,-0.22,0,0,"yes",0,0,"yes",1.17,0.02,0.97,0.02,0.98,0.01,1,0.01
"SPOA0238",0,"SPOA0238","TRAP dicarboxylate transporter, DctP subunit","SPO_RS21025",0,"yes",-0.18,-0.2,-0.18,0,0,"yes",0,0,"yes",1.16,0.04,1.02,0.04,1.01,0.02,1.02,0.01
"SPOA0240",0,"SPOA0240","TRAP transporter, DctM subunit","SPO_RS21035",0,"yes",-0.14,-0.14,-0.14,0,0,"yes",0,0,"yes",1.08,0.02,0.98,0.04,0.98,0.01,0.98,0.02
"SPOA0336",0,"SPOA0336","LacI family transcription regulator","SPO_RS21540",0,"yes",-0.47,-0.24,-0.46,NA,NA,NA,0,0,"yes",1.28,0.03,0.92,0.01,1.08,0.03,0.93,0.02
"SPOA0367",0,"SPOA0367","ABC transporter, permease protein","SPO_RS21695",0,"yes",0.12,0.077,-0.032,NA,NA,NA,NA,NA,NA,0.9,0.02,0.98,0.02,0.95,0.03,0.88,0.1
"SPO0256",NA,"SPO0256","copper-binding protein, plastocyanin/azurin family","SPO_RS01305",NA,NA,0.073,0.14,0.073,0,0,"yes",NA,NA,NA,0.96,0.03,1.01,0.02,1.06,0.03,1.01,0.05
"SPO0285",NA,"SPO0285","hypothetical protein","SPO_RS01445",NA,NA,0.18,0.25,0.32,0,0,"yes",0,0,"yes",0.8,0.05,0.91,0.04,0.95,0.03,1,0.03
"SPO0286",NA,"SPO0286","hypothetical protein","SPO_RS01450",NA,NA,0.29,0.35,0.43,0,0,"yes",NA,NA,NA,0.71,0.06,0.87,0.08,0.91,0.02,0.96,0.06
"SPO0422",NA,"leuA","2-isopropylmalate synthase","SPO_RS02135",NA,NA,0.6,0.6,0.57,0,0,"yes",NA,NA,NA,0.38,0.05,0.58,0.02,0.58,0.05,0.57,0.05
"SPO0554",NA,"SPO0554","glycosyl transferase, group 1 family protein","SPO_RS02795",NA,NA,-0.16,-0.15,-0.079,0,0,"yes",NA,NA,NA,1.12,0.04,1,0.02,1.01,0.01,1.06,0.02
"SPO0673",NA,"tpa","taurine--pyruvate aminotransferase","SPO_RS03400",NA,NA,-0.19,-0.2,-0.11,0,0,"yes",NA,NA,NA,0.98,0.03,0.86,0.05,0.85,0.03,0.91,0.01
"SPO0715",NA,"SPO0715","phosphocarrier protein HPr","SPO_RS03610",NA,NA,1.3,1.2,1,0,0,"yes",NA,NA,NA,0.34,0.14,0.83,0.14,0.77,0.06,0.69,0.23
"SPO0891",NA,"SPO0891","alkylphosphonate utilization protein PhnM, putative","SPO_RS04490",NA,NA,-0.068,-0.11,-0.054,0,0,"yes",NA,NA,NA,1.07,0.04,1.02,0.04,0.99,0.01,1.03,0.04
"SPO0934",NA,"SPO0934","hypothetical protein","SPO_RS04695",NA,NA,-0.11,-0.14,-0.12,0,0,"yes",NA,NA,NA,1.08,0.03,1,0.05,0.98,0.02,0.99,0.03
"SPO0955",NA,"SPO0955","amidohydrolase domain protein","SPO_RS04795",NA,NA,-0.041,-0.11,-0.069,0,0,"yes",NA,NA,NA,1.06,0.01,1.03,0.02,0.98,0.02,1.01,0.02
"SPO1007",NA,"SPO1007","hypothetical protein","SPO_RS05070",NA,NA,-0.089,-0.14,-0.089,0,0,"yes",NA,NA,NA,1.16,0.03,1.09,0.02,1.05,0.02,1.09,0.02
"SPO1155",NA,"hisE","Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)","SPO_RS05855",NA,NA,2.6,-2.6,1.5,0,0,"yes",NA,NA,NA,0.05,0.05,0.35,0.22,0,0,0.16,0.16
"SPO1171",NA,"pyc","pyruvate carboxylase","SPO_RS05935",NA,NA,-0.098,-0.13,-0.098,0,0,"yes",NA,NA,NA,1.06,0.02,0.99,0.02,0.97,0.01,0.99,0.01
"SPO1172",NA,"SPO1172","FMN-dependent alpha-hydroxy acid dehydrogenase family protein","SPO_RS05940",NA,NA,-0.1,-0.22,-0.18,0,0,"yes",NA,NA,NA,1.18,0.05,1.1,0.05,1.01,0.03,1.04,0.03
"SPO1189",NA,"SPO1189","hypothetical protein","SPO_RS06025",NA,NA,0.055,0.15,0.23,0,0,"yes",0,0,"yes",1.02,0.02,1.06,0.06,1.13,0.08,1.2,0.05
"SPO1213",NA,"SPO1213","oligopeptide ABC transporter, ATP-binding protein","SPO_RS06155",NA,NA,0.014,-0.12,0,0,0,"yes",NA,NA,NA,0.98,0.02,0.99,0.01,0.9,0.01,0.98,0.05
"SPO1318",NA,"purA","adenylosuccinate synthetase","SPO_RS06720",NA,NA,3.3,3.6,5.2,0,0,"yes",0,0,"yes",0,0,0.09,0.09,0.11,0.11,0.35,0.12
"SPO1496",NA,"SPO1496","ABC transporter, permease protein","SPO_RS07620",NA,NA,0.45,0.38,0.47,0,0,"yes",NA,NA,NA,0.75,0.07,1.03,0.02,0.98,0.03,1.04,0.03
"SPO1586",NA,"mgdC","N-methylglutamate dehydrogenase subunit C","SPO_RS08070",NA,NA,-0.2,-0.18,-0.096,0,0,"yes",NA,NA,NA,1.08,0.03,0.94,0.07,0.95,0.05,1.01,0.06
"SPO1668",NA,"SPO1668","membrane-associated zinc metalloprotease, putative","SPO_RS08475",NA,NA,-0.11,-0.17,-0.17,0,0,"yes",NA,NA,NA,1.05,0.05,0.97,0.05,0.93,0,0.93,0.08
"SPO1734",NA,"hom","homoserine dehydrogenase","SPO_RS08825",NA,NA,0,5,4.6,0,0,"yes",NA,NA,NA,0,0,0,0,0.31,0.19,0.23,0.23
"SPO1744",NA,"SPO1744","sarcosine oxidase, beta subunit family","SPO_RS08875",NA,NA,0.09,0.15,0.16,0,0,"yes",NA,NA,NA,0.92,0.01,0.98,0.05,1.02,0.01,1.03,0.04
"SPO1816",NA,"SPO1816","TRAP dicarboxylate transporter, DctM subunit, putative","SPO_RS09240",NA,NA,-0.17,-0.17,-0.18,0,0,"yes",0,0,"yes",1.09,0.01,0.97,0.03,0.97,0.01,0.96,0.02
"SPO1928",NA,"SPO1928","Tat (twin-arginine translocation) pathway signal sequence domain protein","SPO_RS09790",NA,NA,-0.065,-0.13,-0.091,0,0,"yes",NA,NA,NA,1.13,0.02,1.08,0.02,1.03,0.01,1.06,0.02
"SPO2069",NA,"SPO2069","benzoate-coenzyme A ligase, putative","SPO_RS10495",NA,NA,-0.16,-0.16,-0.079,0,0,"yes",NA,NA,NA,1.12,0.03,1,0.03,1,0.02,1.06,0.04
"SPO2087",NA,"ntrC","nitrogen regulation protein NtrC","SPO_RS10585",NA,NA,2.2,2.9,1.4,0,0,"yes",NA,NA,NA,0.06,0.06,0.31,0.14,0.5,0.06,0.18,0.13
"SPO2161",NA,"SPO2161","hypothetical protein","SPO_RS10955",NA,NA,-0.097,-0.11,-0.054,0,0,"yes",NA,NA,NA,1.07,0.03,1,0.01,0.99,0.02,1.03,0.02
