spo,gene,funct,NCBI,meanW_rpomAlone,semW_rpomAlone,meanW_vib,semW_vib,meanW_mari,semW_mari,meanW_CC,semW_CC,Vib_fold_diff,pval_vib,padj_vib,Mari_fold_diff,pval_mari,padj_mari,CC_fold_diff,pval_cc,padj_cc
SPO0014,msrA-1,methionine-S-sulfoxide reductase,SPO_RS00070,0.98,0.01,1,0.01,1,0.01,1,0.01,0.029,0.7046,1,0.029,0.7114,1,0.029,0.7334,1
SPO0015,SPO0015,hypothetical protein,SPO_RS00075,1.05,0.03,1,0.01,1.02,0.01,1.02,0.01,-0.07,0.9902,1,-0.041,0.9932,1,-0.041,1.3418,1
SPO0016,SPO0016,sterol carrier family protein,SPO_RS00080,0.98,0.02,1.02,0.02,1,0.02,0.98,0.01,0.057,0.6618,1,0.029,0.6388,1,0,0.9982,1
SPO0017,SPO0017,hypothetical protein,SPO_RS00085,1.02,0.01,1.02,0.01,1.02,0.01,0.99,0.01,0,1.012,1,0,2,1,-0.043,0.4234,1
SPO0018,argG,argininosuccinate synthase,SPO_RS00090,0,0,0.1,0.1,0.07,0.04,0.12,0.07,3.5,0,0,3,0,0,3.7,0.4296,1
SPO0019,SPO0019,hypothetical protein,SPO_RS00095,0.97,0.01,0.98,0.01,0.98,0.01,1,0.01,0.015,0.5786,1,0.015,0.485,1,0.044,0.1882,0.964854684
SPO0020,ilvA,threonine dehydratase,SPO_RS00100,1.02,0.01,1,0.01,1.02,0.01,1.02,0.01,-0.028,0.9988,1,0,0.9892,1,0,2,1
SPO0021,SPO0021,Hpt domain protein,SPO_RS00105,0.92,0.01,0.96,0.01,0.95,0.01,0.95,0.01,0.061,0.0278,0.340563253,0.046,0.0846,0.788454808,0.046,0.0872,0.704954447
SPO0022,SPO0022,response regulator,SPO_RS00110,1,0.01,0.98,0.01,1,0.01,0.97,0.01,-0.029,0.4048,1,0,0.4278,1,-0.044,0.2618,1
SPO0023,SPO0023,"hydrolase, NUDIX family",SPO_RS00115,1.03,0.01,1.02,0.02,1,0,1,0.01,-0.014,1.0102,1,-0.042,1.0132,1,-0.042,1.0042,1
SPO0024,hslO,"chaperonin, 33 kDa",SPO_RS00120,0.91,0.02,0.92,0.01,0.93,0.01,0.93,0.01,0.016,0.6434,1,0.031,0.2768,1,0.031,0.2374,1
SPO0025,SPO0025,"hydrolase, NUDIX family",SPO_RS00125,1.02,0.02,1,0.02,1,0,1.02,0.03,-0.028,0.9482,1,-0.028,0.9998,1,0,1.3458,1
SPO0027,SPO0027,"ABC transporter, transmembrane ATP-binding protein",SPO_RS00135,0.98,0.01,0.98,0.01,1,0.01,1,0.01,0,1.003,1,0.029,0.156,0.945191489,0.029,0.1434,0.83493913
SPO0028,SPO0028,"ABC transporter, transmembrane ATP-binding protein",SPO_RS00140,0.99,0.01,1,0.01,0.99,0.01,0.99,0.01,0.014,1.3406,1,0,1.2564,1,0,0.4282,1
SPO0029,rumA,23S rRNA (Uracil-5-)-methyltransferase rumA,SPO_RS00145,1.05,0.02,1.02,0.01,1.05,0.02,1.02,0.01,-0.041,0,0,0,0,0,-0.041,0,0
SPO0030,SPO0030,voltage-gated sodium channel,SPO_RS00150,1.02,0.01,1,0,1.03,0.01,1.03,0.01,-0.028,0.9882,1,0.014,1.0148,1,0.014,1.0096,1
SPO0031,SPO0031,ErfK/YbiS/YcfS/YnhG family protein,SPO_RS00155,1.04,0.01,1.02,0,1.02,0.01,1.01,0.02,-0.028,1.5648,1,-0.028,0.9976,1,-0.042,0.6688,1
SPO0033,SPO0033,"transcriptional regulator, LysR family",SPO_RS00165,1.04,0.02,1.01,0.01,1.03,0.01,1.02,0.01,-0.042,0.9976,1,-0.014,1.5798,1,-0.028,0.9868,1
SPO0034,SPO0034,hypothetical protein,SPO_RS00170,1,0.02,0.98,0.01,1,0.01,0.98,0.01,-0.029,0.489,1,0,0.976,1,-0.029,0.5584,1
SPO0035,SPO0035,core-2/I-branching enzyme family protein,SPO_RS00175,1,0.01,0.99,0.01,0.98,0.01,0.98,0.01,-0.014,1.1686,1,-0.029,0.3696,1,-0.029,0.546,1
SPO0036,SPO0036,hypothetical protein,SPO_RS00180,0.98,0.01,0.98,0.01,0.98,0,0.98,0.01,0,1.006,1,0,0.9972,1,0,1.2138,1
SPO0037,SPO0037,hypothetical protein,SPO_RS00185,0.99,0.01,0.98,0,1,0,1,0.01,-0.014,0.3128,1,0.014,0.2552,1,0.014,1.0084,1
SPO0040,SPO0040,"ABC transporter, permease protein",SPO_RS00200,1.01,0.01,1.02,0.01,1,0.01,1.03,0.01,0.014,0,0,-0.014,0.1418,0.91598408,0.028,0,0
SPO0041,SPO0041,hypothetical protein,SPO_RS22085,1.04,0.01,1.02,0.01,1.04,0.01,1,0.02,-0.028,0.9976,1,0,0.9996,1,-0.056,0.9796,1
SPO0042,SPO0042,"alkylated DNA repair protein, putative",SPO_RS00210,1.02,0.02,0.99,0.02,1,0.01,1.03,0.01,-0.043,0.7466,1,-0.028,0.9948,1,0.014,1.018,1
SPO0044,dnaJ,chaperone protein DnaJ,SPO_RS00220,0.93,0.07,0.86,0.05,0.92,0.04,0.85,0.07,-0.11,0.5062,1,-0.015,0.935,1,-0.13,0.6042,1
SPO0045,thiD,phosphomethylpyrimidine kinase,SPO_RS00225,0.99,0.02,1.01,0.01,1,0.02,1.01,0.01,0.029,0.4346,1,0.014,0.8022,1,0.029,0.4318,1
SPO0046,SPO0046,"thiamine biosynthesis oxidoreductase ThiO, putative",SPO_RS00230,0.92,0.01,0.92,0.02,0.95,0.01,0.96,0.03,0,0.9952,1,0.046,0.0262,0.367871698,0.061,0.085,0.704954447
SPO0046a,thiS,thiamine biosynthesis protein ThiS,SPO_RS00235,0.98,0.05,1,0.04,0.99,0.05,1.02,0.04,0.029,1.0054,1,0.014,0.7372,1,0.057,0.9972,1
SPO0047,thiG,thiazole biosynthesis protein ThiG,SPO_RS00240,0.94,0.04,0.94,0.02,0.95,0.02,0.97,0.02,0,0.8294,1,0.015,0.596,1,0.045,0.3714,1
SPO0048,thiE,thiamine-phosphate pyrophosphorylase,SPO_RS00245,1,0.03,0.97,0.03,0.96,0.03,1,0.03,-0.044,0.4388,1,-0.058,0.2252,1,0,1.1144,1
SPO0049,SPO0049,thiamine biosynthesis protein ThiF,SPO_RS00250,1,0.01,1,0.02,0.97,0.01,0.98,0.02,0,0.7316,1,-0.044,0.1464,0.91598408,-0.029,0.3836,1
SPO0050,SPO0050,"ABC transporter, periplasmic substrate-binding protein",SPO_RS00255,0.96,0.02,0.97,0.02,0.96,0.01,0.99,0.01,0.015,0.6364,1,0,0.9834,1,0.044,0.4862,1
SPO0051,SPO0051,TENA/THI-4 family protein,SPO_RS00260,1,0.02,1,0.01,0.98,0,0.98,0.02,0,0.5514,1,-0.029,1.1724,1,-0.029,0.9892,1
SPO0052,SPO0052,"ABC transporter, ATP-binding protein",SPO_RS00265,1.01,0.03,0.98,0.02,1,0.01,1.04,0.02,-0.043,0.5486,1,-0.014,0.8612,1,0.042,1.0142,1
SPO0053,SPO0053,"ABC transporter, permease protein",SPO_RS00270,1,0.04,0.96,0.01,1,0.01,0.98,0.01,-0.058,0.6668,1,0,1.0864,1,-0.029,0.9086,1
SPO0054,radC,DNA repair protein RadC,SPO_RS00275,0.97,0.02,0.95,0.02,0.97,0.01,1,0.01,-0.03,0.9206,1,0,0.6874,1,0.044,0.166,0.910903418
SPO0055,SPO0055,OmpA domain protein,SPO_RS00280,1.05,0.01,1.02,0,1.02,0.01,0.99,0.02,-0.041,1.565,1,-0.041,1.573,1,-0.084,0.4318,1
SPO0056,SPO0056,hypothetical protein,SPO_RS00285,1.04,0.01,1.01,0.01,1.02,0.01,0.99,0.01,-0.042,1.34,1,-0.028,1.5752,1,-0.07,0.6552,1
SPO0057,secA,"preprotein translocase, SecA subunit",SPO_RS00290,0.88,0.32,0.58,0.29,0.9,0.16,0.79,0.2,-0.59,0.4054,1,0.032,0.9562,1,-0.15,0.8008,1
SPO0058,SPO0058,PPIC-type PPIASE domain protein,SPO_RS00295,1.02,0.01,1.01,0.02,1.02,0.01,1.04,0.01,-0.014,0.9986,1,0,2,1,0.028,1.5482,1
SPO0059,argJ,glutamate N-acetyltransferase/amino-acid acetyltransferase,SPO_RS00300,0.97,0.01,0.96,0.03,0.99,0.01,1.02,0.02,-0.015,0.7518,1,0.029,0.2578,1,0.072,0.4692,1
SPO0060,mutT,mutator mutT protein,SPO_RS00305,1.06,0.01,1.06,0.01,1.05,0.01,1.05,0.01,0,0,0,-0.014,0,0,-0.014,1.5046,1
SPO0062,SPO0062,hypothetical protein,SPO_RS00315,0.44,0.26,0.5,0.3,0.39,0.23,0.49,0.28,0.18,0.6614,1,-0.17,0.8196,1,0.15,0.9954,1
SPO0063,nusA,transcription termination factor NusA,SPO_RS00320,0.14,0.14,0.5,0.3,0.61,0.21,0.26,0.26,1.8,0.139,0.874424961,2,0.14,0.91598408,0.85,0.9922,1
SPO0066,pip,proline iminopeptidase,SPO_RS00335,0.97,0.01,0.97,0.01,0.93,0.01,0.97,0,0,1.2722,1,-0.06,0.0584,0.601702479,0,1.181,1
SPO0067,ubiG,3-demethylubiquinone-9 3-methyltransferase,SPO_RS00340,0.88,0.02,0.92,0.07,0.91,0.05,1.04,0.09,0.063,0.8552,1,0.048,0.5476,1,0.24,0.248,1
SPO0068,SPO0068,"transcriptional regulator, putative",SPO_RS00345,1.01,0.02,0.91,0.04,0.95,0.02,0.92,0.03,-0.15,0.114,0.839901923,-0.087,0.3344,1,-0.13,0.1442,0.83493913
SPO0069,SPO0069,"hydrolase, carbon-nitrogen family",SPO_RS00350,1.02,0.01,0.96,0.02,1,0.01,1,0,-0.087,0.1328,0.874424961,-0.028,1.0022,1,-0.028,0.9976,1
SPO0070,SPO0070,glutaredoxin,SPO_RS00355,1,0.02,0.98,0.03,1,0.01,1,0.02,-0.029,0.9046,1,0,0.885,1,0,1.0068,1
SPO0071,SPO0071,"competence protein F, putative",SPO_RS00360,1.06,0.02,0.97,0.03,0.99,0.03,0.92,0.04,-0.13,0,0,-0.098,0.0316,0.367871698,-0.2,0,0
SPO0072,SPO0072,hypothetical protein,SPO_RS00365,0.9,0.06,0.96,0.07,0.8,0.1,0.84,0.28,0.092,0.407,1,-0.17,0.3716,1,-0.098,0.9748,1
SPO0075,SPO0075,ErfK/YbiS/YcfS/YnhG family protein/Tat domain protein,SPO_RS00380,1.06,0.01,1.06,0.01,1.05,0.01,1.06,0.01,0,1.573,1,-0.014,0,0,0,0,0
SPO0077,ptsN,PTS IIA-like nitrogen-regulatory protein PtsN,SPO_RS00390,0.96,0.02,0.9,0.02,0.91,0.02,0.92,0.02,-0.092,0.0628,0.59651928,-0.076,0.1096,0.863558513,-0.061,0.2016,0.964854684
SPO0078,SPO0078,"ribosomal subunit interface protein, putative",SPO_RS00395,1.07,0,1.03,0,1.06,0.02,1.02,0.02,-0.054,0,0,-0.013,1.002,1,-0.068,0,0
SPO0084,betB,betaine aldehyde dehydrogenase,SPO_RS00425,1.06,0.01,1.02,0.01,1.02,0.01,1.03,0.02,-0.055,0,0,-0.055,0,0,-0.041,0.024,0.327571186
SPO0085,SPO0085,hypothetical protein,SPO_RS00430,0.88,0.05,0.92,0.05,0.91,0.04,0.97,0.02,0.063,0.5258,1,0.048,0.6172,1,0.14,0.1114,0.764607042
SPO0086,SPO0086,"lipoprotein, putative",SPO_RS00435,1.05,0,1.04,0.01,1.03,0.01,1.03,0.01,-0.014,1.5784,1,-0.027,1.0152,1,-0.027,0.9944,1
SPO0087,SPO0087,hypothetical protein,SPO_RS00440,1,0.02,0.98,0.01,1.01,0,0.98,0.01,-0.029,0.6436,1,0.014,0.9794,1,-0.029,0.4906,1
SPO0088,SPO0088,hypothetical protein,SPO_RS00445,1.02,0.04,1,0.01,1,0.02,1.02,0.02,-0.028,1.1354,1,-0.028,0.7404,1,0,0.869,1
SPO0089,SPO0089,hypothetical protein,SPO_RS00450,1.02,0.02,1,0.01,0.98,0.01,0.98,0.02,-0.028,0.9954,1,-0.057,0.7326,1,-0.057,0.4652,1
SPO0090,SPO0090,hypothetical protein,SPO_RS00455,0.99,0.02,0.98,0.02,0.99,0.02,0.96,0.02,-0.014,0.6562,1,0,1.0026,1,-0.044,0.3808,1
SPO0091,SPO0091,rhodanese-like domain protein,SPO_RS00460,1.01,0.01,1.04,0.01,1.03,0.01,1.01,0.01,0.042,0,0,0.028,1.0054,1,0,1.5592,1
SPO0092,SPO0092,"heat shock protein, Hsp70 family",SPO_RS00465,0.96,0.04,0.93,0.03,0.97,0.02,1,0.01,-0.045,0.8056,1,0.015,0.9422,1,0.058,0.6456,1
SPO0093,pncA,pyrazinamidase/nicotinamidase,SPO_RS00470,1.01,0.04,1.04,0.03,1.02,0.01,1.01,0.02,0.042,0.9966,1,0.014,1.0016,1,0,1.0008,1
SPO0094,SPO0094,sensory box sensor histidine kinase/response regulator,SPO_RS00475,0.98,0.01,0.97,0.02,0.95,0.01,0.98,0.01,-0.015,0.5146,1,-0.044,0.08,0.785570292,0,1.0054,1
SPO0095,pncB,nicotinate phosphoribosyltransferase,SPO_RS00480,0.89,0.02,0.96,0.01,0.96,0.01,0.93,0.03,0.11,0,0,0.11,0.0292,0.367871698,0.063,0.1166,0.764607042
SPO0096,SPO0096,hypothetical protein,SPO_RS00485,0.97,0.03,0.97,0.04,0.99,0.02,0.99,0.02,0,0.9896,1,0.029,1.1122,1,0.029,1.1064,1
SPO0097,SPO0097,aldehyde dehydrogenase family protein,SPO_RS00490,1,0.01,0.98,0.01,0.98,0.02,0.98,0.01,-0.029,0.4084,1,-0.029,0.7006,1,-0.029,0.359,1
SPO0098,SPO0098,"peptide/opine/nickel uptake family ABC transporter, ATP-binding protein",SPO_RS00495,0.96,0.01,0.94,0.01,0.96,0.01,0.95,0.02,-0.03,0.1182,0.839901923,0,0.9892,1,-0.015,0.632,1
SPO0099,SPO0099,"peptide/opine/nickel uptake family ABC transporter, permease protein",SPO_RS00500,0.96,0.02,0.97,0.02,0.96,0.02,0.97,0.02,0.015,0.8248,1,0,0.7674,1,0.015,0.5754,1
SPO0100,SPO0100,"peptide/opine/nickel uptake family ABC transporter, permease protein",SPO_RS00505,1,0.04,1,0.03,1.03,0.01,1.02,0.02,0,1.0162,1,0.042,0.9902,1,0.028,1.0002,1
SPO0101,SPO0101,"peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein",SPO_RS00510,0.98,0.01,0.99,0.01,0.98,0.01,0.99,0.01,0.014,0.3756,1,0,1.17,1,0.014,0.1518,0.850678907
SPO0102,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,SPO_RS00515,0.74,0.03,1,0.01,0.99,0.01,1.01,0.02,0.43,0,0,0.42,0,0,0.44,0,0
SPO0103,panC,pantoate--beta-alanine ligase,SPO_RS00520,0.76,0.01,1.05,0.04,1.03,0.02,1.03,0.04,0.46,0.0288,0.340563253,0.43,0.0248,0.367871698,0.43,0.031,0.327571186
SPO0104,glpK,glycerol kinase,SPO_RS00525,1.01,0.01,1,0.01,1,0,1,0.01,-0.014,1.3108,1,-0.014,1.0018,1,-0.014,0.42,1
SPO0105,SPO0105,monooxygenase family protein,SPO_RS00530,0.99,0.03,0.99,0.02,0.99,0.02,0.99,0.01,0,0.7348,1,0,0.8056,1,0,0.8368,1
SPO0106,SPO0106,hypothetical protein,SPO_RS00535,1.02,0.01,1.02,0.01,1,0.01,1.02,0.01,0,0.9956,1,-0.028,1.0058,1,0,1.0102,1
SPO0107,recQ,ATP-dependent DNA helicase RecQ,SPO_RS00540,1.03,0.01,1.01,0.02,1.02,0.01,1,0.02,-0.028,1.0062,1,-0.014,1.0062,1,-0.042,0.6428,1
SPO0108,SPO0108,"transposase, truncation",SPO_RS22360,0.98,0.05,1,0.02,0.94,0.02,0.98,0.03,0.029,0.891,1,-0.06,0.5482,1,0,0.872,1
SPO0109,SPO0109,hypothetical protein,SPO_RS00545,1,0.01,1,0.01,1.01,0.01,1.01,0.01,0,0.1498,0.874424961,0.014,1.5716,1,0.014,1.5714,1
SPO0110,SPO0110,"ABC transporter, ATP binding/permease protein",SPO_RS00550,1.03,0.01,1.02,0,1.02,0,1.02,0,-0.014,2,1,-0.014,2,1,-0.014,2,1
SPO0111,SPO0111,hypothetical protein,SPO_RS00555,1.04,0.01,1.04,0.01,1.03,0.01,1.04,0.01,0,1.5814,1,-0.014,1.5834,1,0,1.0068,1
SPO0112,SPO0112,poly(3-hydroxyalkanoate) polymerase family protein,SPO_RS00560,1.03,0.01,1.02,0,1.02,0,1.02,0,-0.014,0.995,1,-0.014,1.0066,1,-0.014,1.0078,1
SPO0113,fabI-1,enoyl-(acyl-carrier-protein) reductase,SPO_RS00565,1.01,0.01,1.02,0.01,1.02,0.02,1.02,0.01,0.014,1.0048,1,0.014,0.9906,1,0.014,0.9942,1
SPO0114,SPO0114,hypothetical protein,SPO_RS00570,1.04,0.01,1.03,0.03,1.02,0.02,1.02,0.03,-0.014,1.0088,1,-0.028,1.0016,1,-0.028,0.9978,1
SPO0115,SPO0115,maoC family protein/phosphate acetyl/butaryl transferase,SPO_RS00575,1.01,0.01,1.01,0.02,0.99,0,0.98,0.01,0,0.1444,0.874424961,-0.029,0.0268,0.367871698,-0.043,0,0
SPO0116,ackA,acetate kinase,SPO_RS00580,1,0.01,1.02,0.01,1.02,0.01,1.01,0.01,0.028,0.4142,1,0.028,0.427,1,0.014,1.004,1
SPO0118,SPO0118,hypothetical protein,SPO_RS00600,0.94,0.01,0.95,0,0.95,0,0.96,0.02,0.015,0.1974,1,0.015,0.3946,1,0.03,0.1974,0.964854684
SPO0119,SPO0119,"transcriptional regulator, AsnC family",SPO_RS00605,1.04,0.02,1.04,0.05,1.05,0.04,1.06,0.05,0,1.0036,1,0.014,0,0,0.027,0.031,0.327571186
SPO0120,SPO0120,hypothetical protein,SPO_RS00610,0.98,0.02,1,0.01,1,0.02,1.01,0.01,0.029,0.8872,1,0.029,0.7116,1,0.043,0.5746,1
SPO0122,SPO0122,YGGT family protein,SPO_RS00625,1.02,0.04,0.99,0.02,0.99,0.04,1,0.02,-0.043,0.9936,1,-0.043,0.8286,1,-0.028,0.9996,1
SPO0123,SPO0123,hypothetical protein,SPO_RS00630,0.95,0.02,1,0.01,0.99,0.01,0.98,0.01,0.073,0.282,1,0.059,0.3382,1,0.044,0.3446,1
SPO0124,mepA,murein endopeptidase,SPO_RS00635,1.05,0.01,1.04,0,1.03,0,1.02,0.01,-0.014,0,0,-0.027,0,0,-0.041,0,0
SPO0125,SPO0125,hypothetical protein,SPO_RS00640,1.03,0.01,0.98,0.03,1.02,0.02,1,0.03,-0.071,0.5546,1,-0.014,1.0022,1,-0.042,1.0054,1
SPO0126,SPO0126,hypothetical protein,SPO_RS00645,1.03,0.01,1.04,0.02,1.03,0.01,1.04,0.03,0.014,0,0,0,2,1,0.014,0.994,1
SPO0127,SPO0127,peptidyl-tRNA hydrolase domain protein,SPO_RS00650,1.08,0.11,1,0.1,1.11,0.05,1.1,0.04,-0.11,0.491,1,0.039,1.0092,1,0.026,1.006,1
SPO0128,SPO0128,"oxidoreductase, short chain dehydrogenase/reductase family",SPO_RS00655,1.02,0.02,1.01,0.02,1,0.02,1.01,0.01,-0.014,1.2808,1,-0.028,1.0128,1,-0.014,0.9978,1
SPO0129,SPO0129,"peptidase, T4 family",SPO_RS00660,1.01,0.03,1.04,0.02,1.04,0.01,1.03,0.03,0.042,1.0874,1,0.042,1.3298,1,0.028,0.9968,1
SPO0130,SPO0130,cytochrome c family protein,SPO_RS00665,0.9,0.04,0.9,0.03,0.92,0.02,0.93,0.03,0,1.0478,1,0.031,0.6188,1,0.047,0.7012,1
SPO0131,idi,isopentyl-diphosphate delta-isomerase,SPO_RS00670,1.07,0.03,1.07,0.02,1.04,0.02,1.06,0.06,0,0.9792,1,-0.041,0.9892,1,-0.013,1.0124,1
SPO0132,SPO0132,sensor histidine kinase/response regulator,SPO_RS00675,0.93,0,0.96,0,0.96,0.01,0.96,0.02,0.045,0,0,0.045,0,0,0.045,0.2008,0.964854684
SPO0133,SPO0133,PAN domain protein,SPO_RS00680,1.02,0.02,1,0.01,0.99,0,0.98,0.01,-0.028,1.004,1,-0.043,0.9972,1,-0.057,0.7388,1
SPO0134,SPO0134,hypothetical protein,SPO_RS00685,1.04,0.07,1.07,0.06,1.05,0.07,1.11,0.03,0.041,0.2308,1,0.014,0.2562,1,0.093,0,0
SPO0135,pbpC,penicillin-binding protein 1C,SPO_RS00690,1.02,0.03,0.96,0.01,0.97,0.02,1,0.02,-0.087,0.3942,1,-0.072,0.4796,1,-0.028,0.6424,1
SPO0136,SPO0136,hypothetical protein,SPO_RS00695,1.01,0.02,1.01,0.02,0.98,0.02,0.98,0.01,0,0.5762,1,-0.043,0.7106,1,-0.043,0.815,1
SPO0137,SPO0137,hypothetical protein,SPO_RS00700,1.02,0.01,1,0.01,0.99,0.01,1.01,0.02,-0.028,0.4184,1,-0.043,0.4294,1,-0.014,0.974,1
SPO0138,SPO0138,hypothetical protein,SPO_RS00705,0.95,0.01,0.98,0.02,0.96,0.01,0.98,0.03,0.044,0.1728,0.95124256,0.015,0.1654,0.985265831,0.044,0.3124,1
SPO0139,SPO0139,"ATPase, MoxR family",SPO_RS00710,0.98,0.01,0.97,0.02,0.99,0.02,0.98,0.02,-0.015,0.727,1,0.014,1.0058,1,0,0.9952,1
SPO0140,SPO0140,hypothetical protein,SPO_RS00715,0.95,0.01,0.96,0.04,0.95,0.02,0.97,0.02,0.015,0.8922,1,0,1.1384,1,0.03,0.656,1
SPO0141,SPO0141,"DNA binding protein, putative",SPO_RS00720,0.95,0.03,0.96,0.04,0.9,0.03,0.98,0.06,0.015,0.6184,1,-0.077,0.375,1,0.044,0.8022,1
SPO0142,bktB,beta-ketothiolase,SPO_RS00730,1.01,0.03,1,0.01,1.01,0,1.01,0.01,-0.014,0.9098,1,0,1.0018,1,0,0.8504,1
SPO0143,SPO0143,iron-sulfur cluster-binding protein,SPO_RS00735,0.95,0.01,0.94,0.01,0.94,0.02,0.96,0.02,-0.015,0.7254,1,-0.015,0.7202,1,0.015,0.5606,1
SPO0144,ubiB,2-polyprenylphenol 6-hydroxylase,SPO_RS00740,NA,NA,NA,NA,NA,NA,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPO0146,mutM,formamidopyrimidine-DNA glycosylase,SPO_RS00750,1.06,0.02,1.03,0.01,1.03,0.01,1.01,0.03,-0.041,0,0,-0.041,0,0,-0.069,0.0298,0.327571186
SPO0147,SPO0147,enoyl-CoA hydratase,SPO_RS00755,0.5,0.17,0.6,0.21,0.47,0.2,0.78,0.05,0.26,0.5416,1,-0.087,0.9972,1,0.63,0.1086,0.764607042
SPO0151,recF,DNA replication and repair protein RecF,SPO_RS00775,0.94,0.01,0.96,0.01,0.97,0.02,0.95,0.01,0.03,0.1136,0.839901923,0.045,0.1348,0.91598408,0.015,0.6142,1
SPO0152,SPO0152,"transporter, LysE family",SPO_RS00780,0.98,0.01,0.98,0.01,0.99,0,0.96,0.02,0,1.1164,1,0.014,0.4844,1,-0.029,0.135,0.83493913
SPO0153,SPO0153,"transcriptional regulator, TetR family",SPO_RS00785,0.81,0.02,0.87,0.02,0.87,0.04,0.84,0.04,0.1,0.116,0.839901923,0.1,0.2288,1,0.052,0.567,1
SPO0154,SPO0154,"NAD(P)H dehydrogenase, quinone family",SPO_RS00790,0.98,0.02,1.01,0,1.03,0.02,1,0.02,0.043,0.1542,0.895863208,0.071,0.5528,1,0.029,0.7868,1
SPO0156,rtcR,transcriptional regulator RtcR,SPO_RS00800,0.99,0.01,1.01,0.01,1.01,0.01,1.01,0.01,0.029,0.3638,1,0.029,0.3708,1,0.029,1.3284,1
SPO0157,SPO0157,TROVE domain protein,SPO_RS00805,1.01,0.01,1.01,0.01,1,0.01,0.99,0.01,0,0.998,1,-0.014,0.9996,1,-0.029,0.1448,0.83493913
SPO0160,SPO0160,hypothetical protein,SPO_RS00820,1.06,0.02,1.03,0.01,1.03,0.01,1.03,0.02,-0.041,0,0,-0.041,0,0,-0.041,0,0
SPO0161,SPO0161,"DNA-binding response regulator, LuxR family",SPO_RS00825,0.98,0.01,0.99,0.01,0.98,0.01,1.01,0.03,0.014,0.4754,1,0,0.9856,1,0.043,1.1736,1
SPO0162,SPO0162,hypothetical protein,SPO_RS00830,0.98,0.03,0.96,0.04,0.98,0.02,0.96,0.02,-0.029,0.8274,1,0,0.6242,1,-0.029,0.5768,1
SPO0163,SPO0163,sensory box histidine kinase/response regulator,SPO_RS00835,0.94,0.01,1,0.03,0.97,0,0.96,0.01,0.088,0.17,0.95124256,0.045,0.2098,1,0.03,0.4274,1
SPO0164,SPO0164,"oxidoreductase, FMN-binding/pyridine nucleotide-disulfide oxidoreductase",SPO_RS00840,0.95,0.02,0.95,0.04,0.98,0.01,0.95,0.01,0,1.12,1,0.044,0.3098,1,0,1.0116,1
